year,male,female,total
2019,5196,4554,9750
2020,5169,4543,9712
2021,5140,4531,9671
2022,5109,4520,9629
2023,5077,4508,9585
2024,5044,4495,9539
2025,5011,4485,9496
2026,4974,4472,9446
2027,4938,4459,9397
2028,4896,4441,9337
2029,4851,4419,9270
2030,4804,4396,9200
2031,4756,4368,9124
2032,4704,4339,9043
2033,4650,4307,8957
2034,4599,4276,8875
2035,4551,4247,8798
2036,4498,4216,8714
2037,4441,4181,8622
2038,4382,4146,8528
2039,4321,4110,8431
2040,4257,4069,8326
2041,4191,4027,8218
2042,4123,3984,8107
2043,4059,3935,7994
2044,3990,3884,7874
2045,3925,3835,7760
2046,3857,3786,7643
2047,3790,3736,7526
2048,3725,3686,7411
2049,3664,3636,7300
2050,3600,3588,7188
2051,3535,3535,7070
2052,3472,3480,6952
2053,3411,3429,6840
2054,3350,3381,6731
2055,3291,3335,6626
2056,3233,3290,6523
2057,3177,3245,6422
2058,3120,3197,6317
2059,3058,3147,6205
2060,2999,3097,6096
2061,2943,3046,5989
2062,2889,2998,5887
2063,2836,2949,5785
2064,2783,2897,5680
2065,2733,2851,5584
