year,male,female,total
2019,18396,17355,35751
2020,18383,17387,35770
2021,18365,17409,35774
2022,18343,17425,35768
2023,18308,17435,35743
2024,18267,17434,35701
2025,18229,17434,35663
2026,18180,17429,35609
2027,18120,17419,35539
2028,18052,17398,35450
2029,17978,17368,35346
2030,17891,17330,35221
2031,17794,17279,35073
2032,17691,17222,34913
2033,17577,17149,34726
2034,17447,17066,34513
2035,17330,16991,34321
2036,17199,16907,34106
2037,17058,16808,33866
2038,16907,16700,33607
2039,16748,16584,33332
2040,16578,16453,33031
2041,16401,16315,32716
2042,16219,16167,32386
2043,16022,16010,32032
2044,15824,15843,31667
2045,15635,15690,31325
2046,15441,15528,30969
2047,15241,15364,30605
2048,15041,15189,30230
2049,14832,15007,29839
2050,14625,14826,29451
2051,14409,14634,29043
2052,14197,14443,28640
2053,13980,14248,28228
2054,13761,14058,27819
2055,13559,13880,27439
2056,13350,13702,27052
2057,13143,13522,26665
2058,12935,13336,26271
2059,12724,13145,25869
2060,12510,12957,25467
2061,12298,12764,25062
2062,12084,12572,24656
2063,11867,12377,24244
2064,11649,12190,23839
2065,11440,12008,23448
