year,male,female,total
2019,39877,38704,78581
2020,39905,38809,78714
2021,39930,38913,78843
2022,39945,39004,78949
2023,39942,39077,79019
2024,39923,39142,79065
2025,39913,39210,79123
2026,39887,39267,79154
2027,39843,39309,79152
2028,39775,39338,79113
2029,39693,39348,79041
2030,39591,39335,78926
2031,39470,39301,78771
2032,39324,39251,78575
2033,39159,39179,78338
2034,38974,39086,78060
2035,38802,39006,77808
2036,38611,38906,77517
2037,38395,38784,77179
2038,38162,38641,76803
2039,37909,38477,76386
2040,37638,38292,75930
2041,37353,38090,75443
2042,37053,37874,74927
2043,36742,37642,74384
2044,36417,37390,73807
2045,36116,37163,73279
2046,35802,36921,72723
2047,35475,36666,72141
2048,35136,36389,71525
2049,34782,36096,70878
2050,34420,35785,70205
2051,34039,35455,69494
2052,33651,35111,68762
2053,33248,34753,68001
2054,32834,34382,67216
2055,32445,34037,66482
2056,32047,33680,65727
2057,31640,33309,64949
2058,31224,32925,64149
2059,30799,32526,63325
2060,30363,32117,62480
2061,29920,31699,61619
2062,29472,31267,60739
2063,29014,30825,59839
2064,28553,30374,58927
2065,28111,29949,58060
