統計年月,區域別,村里,戶數,人口數,人口數-男,人口數-女,0歲-男,0歲-女,1歲-男,1歲-女,2歲-男,2歲-女,3歲-男,3歲-女,4歲-男,4歲-女,5歲-男,5歲-女,6歲-男,6歲-女,7歲-男,7歲-女,8歲-男,8歲-女,9歲-男,9歲-女,10歲-男,10歲-女,11歲-男,11歲-女,12歲-男,12歲-女,13歲-男,13歲-女,14歲-男,14歲-女,15歲-男,15歲-女,16歲-男,16歲-女,17歲-男,17歲-女,18歲-男,18歲-女,19歲-男,19歲-女,20歲-男,20歲-女,21歲-男,21歲-女,22歲-男,22歲-女,23歲-男,23歲-女,24歲-男,24歲-女,25歲-男,25歲-女,26歲-男,26歲-女,27歲-男,27歲-女,28歲-男,28歲-女,29歲-男,29歲-女,30歲-男,30歲-女,31歲-男,31歲-女,32歲-男,32歲-女,33歲-男,33歲-女,34歲-男,34歲-女,35歲-男,35歲-女,36歲-男,36歲-女,37歲-男,37歲-女,38歲-男,38歲-女,39歲-男,39歲-女,40歲-男,40歲-女,41歲-男,41歲-女,42歲-男,42歲-女,43歲-男,43歲-女,44歲-男,44歲-女,45歲-男,45歲-女,46歲-男,46歲-女,47歲-男,47歲-女,48歲-男,48歲-女,49歲-男,49歲-女,50歲-男,50歲-女,51歲-男,51歲-女,52歲-男,52歲-女,53歲-男,53歲-女,54歲-男,54歲-女,55歲-男,55歲-女,56歲-男,56歲-女,57歲-男,57歲-女,58歲-男,58歲-女,59歲-男,59歲-女,60歲-男,60歲-女,61歲-男,61歲-女,62歲-男,62歲-女,63歲-男,63歲-女,64歲-男,64歲-女,65歲-男,65歲-女,66歲-男,66歲-女,67歲-男,67歲-女,68歲-男,68歲-女,69歲-男,69歲-女,70歲-男,70歲-女,71歲-男,71歲-女,72歲-男,72歲-女,73歲-男,73歲-女,74歲-男,74歲-女,75歲-男,75歲-女,76歲-男,76歲-女,77歲-男,77歲-女,78歲-男,78歲-女,79歲-男,79歲-女,80歲-男,80歲-女,81歲-男,81歲-女,82歲-男,82歲-女,83歲-男,83歲-女,84歲-男,84歲-女,85歲-男,85歲-女,86歲-男,86歲-女,87歲-男,87歲-女,88歲-男,88歲-女,89歲-男,89歲-女,90歲-男,90歲-女,91歲-男,91歲-女,92歲-男,92歲-女,93歲-男,93歲-女,94歲-男,94歲-女,95歲-男,95歲-女,96歲-男,96歲-女,97歲-男,97歲-女,98歲-男,98歲-女,99歲-男,99歲-女,100歲以上-男,100歲以上-女,
10306,澎湖縣馬公市,中央里,252,626,317,309,0,2,3,2,0,1,1,2,1,0,2,1,3,6,5,2,1,2,2,5,1,2,3,3,1,2,2,1,5,3,2,4,1,0,3,1,6,3,3,3,4,4,2,4,0,1,5,3,10,3,2,4,6,2,5,7,0,3,5,2,6,5,1,2,2,6,8,2,4,5,5,5,4,5,3,6,6,5,5,5,5,5,7,3,5,4,3,2,5,4,6,3,1,5,5,3,4,8,11,5,4,1,9,4,4,8,4,4,5,8,7,5,5,4,6,4,8,5,3,1,1,4,6,4,7,2,2,6,4,5,3,6,2,1,5,9,3,3,5,1,1,4,3,2,0,3,4,2,5,5,1,5,2,1,5,2,3,3,2,6,3,1,3,1,0,2,2,0,2,3,0,3,2,3,1,4,1,0,0,2,0,2,1,0,0,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
10306,澎湖縣馬公市,中興里,405,910,461,449,0,4,0,2,1,1,3,2,1,5,7,3,3,1,4,1,3,4,1,5,5,5,2,3,4,1,5,5,2,4,2,2,7,5,4,4,5,12,7,3,12,10,8,8,9,9,11,10,4,9,6,6,11,7,6,4,14,1,6,13,13,7,8,6,12,9,6,8,6,6,12,8,9,6,8,8,10,4,6,4,4,6,6,15,14,8,5,5,11,2,9,6,10,7,4,9,7,6,7,3,6,6,5,4,7,7,6,10,8,12,8,5,6,1,3,5,9,6,6,7,8,8,5,4,4,3,3,2,2,5,2,3,0,3,0,4,2,5,3,3,0,1,2,7,2,2,3,2,0,2,2,4,2,5,1,3,4,7,1,6,5,8,4,3,2,2,3,1,1,1,6,0,2,5,2,2,2,0,1,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10306,澎湖縣馬公市,五德里,154,306,172,134,0,1,0,0,2,0,0,1,1,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,3,3,2,0,0,1,0,4,6,2,5,2,8,2,5,4,4,3,5,1,4,4,3,2,3,3,5,2,4,2,2,1,3,2,0,6,4,2,0,5,1,2,3,1,0,1,3,1,2,2,3,2,1,1,2,1,1,3,1,3,3,3,2,1,4,1,2,2,3,2,4,0,2,3,2,5,3,3,4,4,3,0,1,0,3,1,3,2,6,2,2,1,2,2,1,3,1,1,0,1,1,0,4,0,5,0,0,0,2,1,1,3,0,0,1,1,0,2,0,2,0,0,1,0,0,2,2,1,2,2,3,1,1,0,0,1,2,2,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10306,澎湖縣馬公市,井垵里,137,449,228,221,5,3,0,3,3,5,4,3,3,0,0,2,3,2,0,5,0,4,2,3,3,4,1,0,1,0,2,2,4,1,6,0,3,3,2,2,3,3,4,3,4,2,4,4,1,2,2,4,1,0,2,4,6,2,1,1,3,3,4,2,3,3,7,3,4,3,4,3,4,4,3,1,3,5,3,6,6,5,2,3,5,5,4,5,5,3,2,4,8,0,2,8,6,3,3,4,1,9,1,2,4,2,6,3,4,2,2,1,4,1,3,5,5,1,1,3,4,2,2,2,2,2,1,2,3,4,1,1,5,0,0,1,1,1,1,0,0,3,0,0,4,2,1,1,0,2,5,0,0,2,1,2,0,2,0,0,0,1,2,0,1,2,0,2,0,2,4,1,1,2,1,1,4,2,0,2,1,3,0,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10306,澎湖縣馬公市,光復里,908,2359,1132,1227,5,12,9,10,15,9,8,8,6,6,6,10,6,9,6,11,6,5,14,12,3,5,13,7,18,13,14,11,13,14,12,10,12,14,12,16,16,13,11,16,21,9,17,16,21,20,24,16,16,18,20,20,16,20,17,18,15,18,22,9,17,18,19,18,18,13,17,21,16,25,11,31,21,19,20,25,21,18,13,16,15,14,11,12,20,15,7,17,7,12,15,12,21,18,9,23,14,18,17,16,21,12,15,26,23,21,16,17,22,22,16,15,20,32,21,21,20,15,15,12,19,17,16,17,10,18,11,18,19,14,10,13,10,12,6,12,2,11,7,12,9,12,7,11,7,10,8,14,5,11,8,6,7,15,10,6,8,11,5,12,5,4,5,3,3,6,9,6,6,3,3,7,7,5,6,2,3,1,1,2,5,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
10306,澎湖縣馬公市,光明里,563,1399,694,705,6,7,4,6,9,3,1,4,4,2,6,4,2,9,8,5,7,0,6,5,5,2,4,6,6,4,6,4,9,4,5,7,2,9,6,6,6,9,5,11,10,12,17,7,10,8,14,13,13,10,12,13,5,13,13,11,12,6,15,10,16,15,13,9,16,15,8,10,7,11,13,10,12,11,13,11,10,10,7,5,11,5,11,10,8,15,7,9,9,8,11,11,6,6,11,11,9,5,8,14,12,11,12,13,9,11,7,7,15,18,10,13,11,10,8,11,13,12,10,6,11,8,8,12,13,4,3,11,6,3,5,12,6,10,6,5,4,8,3,9,4,4,3,5,4,8,4,4,3,5,4,5,5,5,1,10,6,5,3,8,8,8,1,4,8,3,5,4,10,4,5,2,5,3,2,2,1,5,0,0,1,1,2,1,0,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,
10306,澎湖縣馬公市,光榮里,1859,4709,2277,2432,6,7,16,19,18,20,19,14,13,10,10,19,22,12,20,13,16,15,22,15,18,14,19,16,16,19,28,19,16,16,27,26,35,32,25,37,32,31,39,34,37,33,36,49,34,37,43,34,23,31,35,38,41,40,25,25,42,44,42,29,37,37,39,39,36,39,48,34,33,45,40,34,28,31,41,42,32,48,27,28,40,46,35,31,36,31,34,35,41,37,39,49,45,25,39,34,35,35,34,42,31,42,32,44,32,46,49,49,34,40,30,37,38,39,30,39,37,34,28,33,31,31,24,34,17,31,22,44,15,24,21,28,17,24,13,28,13,13,8,21,12,27,6,17,6,20,17,14,6,23,10,18,6,14,8,14,13,13,8,13,9,18,8,8,13,9,11,6,19,9,17,4,16,7,18,7,7,5,8,5,9,5,5,2,2,0,3,1,2,0,2,0,0,0,0,1,0,0,0,0,0,1,
10306,澎湖縣馬公市,光華里,292,798,448,350,6,4,9,8,9,8,8,2,10,4,7,3,4,5,6,4,6,6,1,5,6,3,2,4,4,3,5,5,5,2,6,9,14,14,12,7,7,12,7,5,5,6,10,3,11,7,8,3,9,8,10,4,14,1,8,11,12,4,7,9,9,10,11,8,14,10,7,11,11,9,12,12,13,7,8,7,14,5,8,10,1,4,9,2,7,3,3,3,11,5,4,4,3,3,4,5,2,3,3,1,3,0,3,2,3,3,3,3,2,3,1,2,4,3,2,2,1,3,1,2,0,2,4,3,1,4,4,2,1,2,3,4,3,2,1,0,0,2,2,2,1,0,1,0,3,0,2,1,4,1,1,0,2,0,1,0,1,1,2,2,0,0,2,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
10306,澎湖縣馬公市,前寮里,375,982,517,465,7,11,5,5,4,3,6,4,1,7,2,4,1,3,1,2,1,1,2,3,1,4,4,2,2,2,7,4,5,3,2,4,4,8,6,7,9,7,7,3,10,8,5,5,10,5,14,11,9,14,13,5,13,13,6,10,9,4,9,10,13,9,9,9,18,7,11,6,15,12,9,10,7,5,13,10,6,6,10,9,8,9,6,6,7,5,7,3,5,4,2,3,7,9,11,6,4,9,8,4,9,11,14,7,6,10,11,10,8,4,9,8,7,3,9,4,10,5,7,8,1,10,6,1,7,5,1,5,6,6,5,2,5,3,1,2,0,1,4,3,2,3,1,3,1,5,3,0,3,1,2,0,3,3,2,2,1,2,2,3,5,3,3,4,1,1,2,1,0,4,0,2,1,2,2,2,1,1,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10306,澎湖縣馬公市,啟明里,395,1071,555,516,8,5,1,2,4,6,5,4,1,1,2,7,4,2,5,6,4,9,5,2,8,2,5,5,0,2,5,3,3,4,5,5,7,7,7,5,6,4,5,8,6,8,4,6,9,4,11,5,5,4,12,6,3,2,9,4,9,7,6,9,8,9,8,6,8,8,16,11,10,10,14,10,4,11,13,10,7,7,10,8,6,6,12,12,8,5,12,10,8,11,6,7,4,7,10,8,6,3,5,9,3,5,8,9,9,6,10,3,9,6,11,7,10,10,8,10,8,7,9,8,8,4,6,7,15,9,7,8,12,7,5,6,5,6,5,7,2,2,2,2,7,4,5,4,5,9,4,8,2,7,4,5,3,3,8,4,1,6,5,5,3,5,2,0,3,1,1,2,4,1,0,1,0,3,3,1,0,1,1,1,1,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
