year,age_range,male,female,total
2019,0-4,849,770,1619
2019,5-9,958,894,1852
2019,10-14,1071,915,1986
2019,15-19,1415,1323,2738
2019,20-24,2023,1843,3866
2019,25-29,1984,1681,3665
2019,30-34,1864,1510,3374
2019,35-39,2101,1841,3942
2019,40-44,2172,1837,4009
2019,45-49,1843,1781,3624
2019,50-54,2087,1836,3923
2019,55-59,2055,2012,4067
2019,60-64,1862,1808,3670
2019,65-69,1489,1444,2933
2019,70-74,847,930,1777
2019,75-79,763,776,1539
2019,80-84,474,594,1068
2019,85-89,236,330,566
2019,90-94,79,120,199
2019,95-99,6,25,31
2019,100+,0,2,2
2020,0-4,861,786,1647
2020,5-9,964,887,1851
2020,10-14,1002,905,1907
2020,15-19,1285,1173,2458
2020,20-24,1971,1811,3782
2020,25-29,2039,1727,3766
2020,30-34,1848,1520,3368
2020,35-39,2073,1747,3820
2020,40-44,2214,1873,4087
2020,45-49,1767,1760,3527
2020,50-54,2082,1845,3927
2020,55-59,2071,1979,4050
2020,60-64,1869,1821,3690
2020,65-69,1578,1549,3127
2020,70-74,941,1037,1978
2020,75-79,701,752,1453
2020,80-84,519,608,1127
2020,85-89,251,346,597
2020,90-94,90,137,227
2020,95-99,6,29,35
2020,100+,0,0,0
2021,0-4,861,827,1688
2021,5-9,1005,870,1875
2021,10-14,938,883,1821
2021,15-19,1227,1058,2285
2021,20-24,1832,1699,3531
2021,25-29,2077,1828,3905
2021,30-34,1893,1570,3463
2021,35-39,1971,1621,3592
2021,40-44,2216,1885,4101
2021,45-49,1804,1775,3579
2021,50-54,2019,1836,3855
2021,55-59,2090,1928,4018
2021,60-64,1902,1843,3745
2021,65-69,1569,1637,3206
2021,70-74,1090,1136,2226
2021,75-79,671,757,1428
2021,80-84,550,616,1166
2021,85-89,267,364,631
2021,90-94,92,155,247
2021,95-99,16,32,48
2021,100+,0,0,0
2022,0-4,914,882,1796
2022,5-9,946,825,1771
2022,10-14,932,895,1827
2022,15-19,1200,984,2184
2022,20-24,1645,1544,3189
2022,25-29,2161,1908,4069
2022,30-34,1890,1614,3504
2022,35-39,1876,1532,3408
2022,40-44,2211,1894,4105
2022,45-49,1913,1784,3697
2022,50-54,1943,1832,3775
2022,55-59,2053,1878,3931
2022,60-64,1903,1889,3792
2022,65-69,1637,1673,3310
2022,70-74,1207,1247,2454
2022,75-79,661,741,1402
2022,80-84,542,640,1182
2022,85-89,296,387,683
2022,90-94,95,166,261
2022,95-99,22,35,57
2022,100+,0,0,0
2023,0-4,982,929,1911
2023,5-9,893,800,1693
2023,10-14,938,881,1819
2023,15-19,1138,946,2084
2023,20-24,1532,1432,2964
2023,25-29,2091,1877,3968
2023,30-34,1942,1646,3588
2023,35-39,1877,1554,3431
2023,40-44,2130,1846,3976
2023,45-49,2029,1799,3828
2023,50-54,1856,1815,3671
2023,55-59,2035,1846,3881
2023,60-64,1944,1934,3878
2023,65-69,1665,1737,3402
2023,70-74,1274,1266,2540
2023,75-79,693,803,1496
2023,80-84,553,635,1188
2023,85-89,302,409,711
2023,90-94,106,180,286
2023,95-99,25,39,64
2023,100+,0,0,0
2024,0-4,1059,985,2044
2024,5-9,849,770,1619
2024,10-14,958,894,1852
2024,15-19,1071,915,1986
2024,20-24,1415,1323,2738
2024,25-29,2023,1843,3866
2024,30-34,1984,1681,3665
2024,35-39,1849,1510,3359
2024,40-44,2076,1841,3917
2024,45-49,2128,1827,3955
2024,50-54,1790,1757,3547
2024,55-59,2008,1811,3819
2024,60-64,1952,1969,3921
2024,65-69,1734,1749,3483
2024,70-74,1331,1364,2695
2024,75-79,710,842,1552
2024,80-84,572,648,1220
2024,85-89,301,431,732
2024,90-94,120,189,309
2024,95-99,27,46,73
2024,100+,0,0,0
2025,0-4,1088,1011,2099
2025,5-9,861,786,1647
2025,10-14,964,887,1851
2025,15-19,1002,905,1907
2025,20-24,1285,1173,2458
2025,25-29,1971,1811,3782
2025,30-34,2039,1727,3766
2025,35-39,1834,1520,3354
2025,40-44,2047,1747,3794
2025,45-49,2170,1864,4034
2025,50-54,1716,1735,3451
2025,55-59,2004,1820,3824
2025,60-64,1969,1938,3907
2025,65-69,1743,1765,3508
2025,70-74,1414,1465,2879
2025,75-79,789,941,1730
2025,80-84,526,629,1155
2025,85-89,333,445,778
2025,90-94,130,199,329
2025,95-99,31,53,84
2025,100+,0,0,0
2026,0-4,1107,1029,2136
2026,5-9,861,827,1688
2026,10-14,1005,870,1875
2026,15-19,938,883,1821
2026,20-24,1227,1058,2285
2026,25-29,1832,1699,3531
2026,30-34,2077,1828,3905
2026,35-39,1878,1570,3448
2026,40-44,1945,1621,3566
2026,45-49,2173,1876,4049
2026,50-54,1754,1750,3504
2026,55-59,1947,1811,3758
2026,60-64,1989,1890,3879
2026,65-69,1773,1788,3561
2026,70-74,1410,1550,2960
2026,75-79,919,1033,1952
2026,80-84,507,634,1141
2026,85-89,355,453,808
2026,90-94,138,211,349
2026,95-99,33,60,93
2026,100+,0,0,0
2027,0-4,1117,1039,2156
2027,5-9,914,882,1796
2027,10-14,946,825,1771
2027,15-19,932,895,1827
2027,20-24,1200,984,2184
2027,25-29,1645,1544,3189
2027,30-34,2160,1908,4068
2027,35-39,1877,1614,3491
2027,40-44,1851,1532,3383
2027,45-49,2168,1885,4053
2027,50-54,1863,1759,3622
2027,55-59,1874,1807,3681
2027,60-64,1956,1842,3798
2027,65-69,1777,1833,3610
2027,70-74,1473,1586,3059
2027,75-79,1019,1135,2154
2027,80-84,500,623,1123
2027,85-89,352,473,825
2027,90-94,153,226,379
2027,95-99,35,63,98
2027,100+,0,0,0
2028,0-4,1119,1042,2161
2028,5-9,982,929,1911
2028,10-14,893,800,1693
2028,15-19,938,881,1819
2028,20-24,1138,946,2084
2028,25-29,1532,1432,2964
2028,30-34,2091,1877,3968
2028,35-39,1928,1646,3574
2028,40-44,1852,1554,3406
2028,45-49,2089,1837,3926
2028,50-54,1979,1774,3753
2028,55-59,1792,1790,3582
2028,60-64,1940,1813,3753
2028,65-69,1818,1877,3695
2028,70-74,1500,1646,3146
2028,75-79,1077,1154,2231
2028,80-84,525,678,1203
2028,85-89,360,471,831
2028,90-94,156,242,398
2028,95-99,39,69,108
2028,100+,0,0,0
2029,0-4,1116,1041,2157
2029,5-9,1059,985,2044
2029,10-14,849,770,1619
2029,15-19,958,894,1852
2029,20-24,1071,915,1986
2029,25-29,1415,1323,2738
2029,30-34,2023,1843,3866
2029,35-39,1970,1681,3651
2029,40-44,1824,1510,3334
2029,45-49,2036,1832,3868
2029,50-54,2075,1803,3878
2029,55-59,1728,1732,3460
2029,60-64,1915,1781,3696
2029,65-69,1828,1912,3740
2029,70-74,1565,1660,3225
2029,75-79,1124,1244,2368
2029,80-84,540,716,1256
2029,85-89,371,482,853
2029,90-94,156,255,411
2029,95-99,45,74,119
2029,100+,0,0,0
2030,0-4,1110,1036,2146
2030,5-9,1088,1011,2099
2030,10-14,861,786,1647
2030,15-19,964,887,1851
2030,20-24,1002,905,1907
2030,25-29,1285,1173,2458
2030,30-34,1971,1811,3782
2030,35-39,2024,1727,3751
2030,40-44,1809,1520,3329
2030,45-49,2009,1740,3749
2030,50-54,2114,1839,3953
2030,55-59,1658,1710,3368
2030,60-64,1911,1790,3701
2030,65-69,1844,1881,3725
2030,70-74,1572,1675,3247
2030,75-79,1192,1338,2530
2030,80-84,602,800,1402
2030,85-89,339,466,805
2030,90-94,173,261,434
2030,95-99,48,79,127
2030,100+,0,0,0
2031,0-4,1095,1022,2117
2031,5-9,1107,1029,2136
2031,10-14,861,827,1688
2031,15-19,1005,870,1875
2031,20-24,938,883,1821
2031,25-29,1227,1058,2285
2031,30-34,1831,1699,3530
2031,35-39,2062,1828,3890
2031,40-44,1853,1570,3423
2031,45-49,1909,1615,3524
2031,50-54,2116,1851,3967
2031,55-59,1694,1725,3419
2031,60-64,1856,1780,3636
2031,65-69,1863,1834,3697
2031,70-74,1600,1700,3300
2031,75-79,1190,1415,2605
2031,80-84,703,878,1581
2031,85-89,327,469,796
2031,90-94,184,264,448
2031,95-99,50,84,134
2031,100+,0,0,0
2032,0-4,1071,999,2070
2032,5-9,1117,1039,2156
2032,10-14,914,882,1796
2032,15-19,946,825,1771
2032,20-24,932,895,1827
2032,25-29,1200,984,2184
2032,30-34,1645,1544,3189
2032,35-39,2144,1908,4052
2032,40-44,1852,1614,3466
2032,45-49,1817,1528,3345
2032,50-54,2112,1860,3972
2032,55-59,1798,1734,3532
2032,60-64,1786,1775,3561
2032,65-69,1831,1787,3618
2032,70-74,1603,1743,3346
2032,75-79,1244,1447,2691
2032,80-84,778,963,1741
2032,85-89,322,462,784
2032,90-94,183,276,459
2032,95-99,56,89,145
2032,100+,0,0,0
2033,0-4,1045,975,2020
2033,5-9,1119,1042,2161
2033,10-14,982,929,1911
2033,15-19,893,800,1693
2033,20-24,938,881,1819
2033,25-29,1138,946,2084
2033,30-34,1532,1432,2964
2033,35-39,2076,1877,3953
2033,40-44,1903,1646,3549
2033,45-49,1820,1551,3371
2033,50-54,2036,1814,3850
2033,55-59,1908,1749,3657
2033,60-64,1707,1758,3465
2033,65-69,1815,1759,3574
2033,70-74,1640,1784,3424
2033,75-79,1265,1501,2766
2033,80-84,821,977,1798
2033,85-89,340,505,845
2033,90-94,186,275,461
2033,95-99,57,95,152
2033,100+,0,0,0
2034,0-4,1016,947,1963
2034,5-9,1116,1041,2157
2034,10-14,1059,985,2044
2034,15-19,849,770,1619
2034,20-24,958,894,1852
2034,25-29,1071,915,1986
2034,30-34,1415,1323,2738
2034,35-39,2009,1843,3852
2034,40-44,1945,1681,3626
2034,45-49,1792,1509,3301
2034,50-54,1983,1809,3792
2034,55-59,2002,1778,3780
2034,60-64,1646,1701,3347
2034,65-69,1792,1728,3520
2034,70-74,1648,1815,3463
2034,75-79,1319,1513,2832
2034,80-84,854,1055,1909
2034,85-89,353,535,888
2034,90-94,191,282,473
2034,95-99,56,100,156
2034,100+,0,0,0
2035,0-4,983,916,1899
2035,5-9,1110,1036,2146
2035,10-14,1088,1011,2099
2035,15-19,861,786,1647
2035,20-24,964,887,1851
2035,25-29,1002,905,1907
2035,30-34,1285,1173,2458
2035,35-39,1959,1811,3770
2035,40-44,1999,1727,3726
2035,45-49,1778,1520,3298
2035,50-54,1956,1718,3674
2035,55-59,2043,1814,3857
2035,60-64,1580,1682,3262
2035,65-69,1793,1738,3531
2035,70-74,1665,1789,3454
2035,75-79,1331,1532,2863
2035,80-84,911,1140,2051
2035,85-89,398,600,998
2035,90-94,174,275,449
2035,95-99,64,105,169
2035,100+,0,0,0
2036,0-4,947,883,1830
2036,5-9,1095,1022,2117
2036,10-14,1107,1029,2136
2036,15-19,861,827,1688
2036,20-24,1005,870,1875
2036,25-29,938,883,1821
2036,30-34,1227,1058,2285
2036,35-39,1822,1699,3521
2036,40-44,2037,1828,3865
2036,45-49,1821,1569,3390
2036,50-54,1859,1597,3456
2036,55-59,2046,1826,3872
2036,60-64,1619,1700,3319
2036,65-69,1742,1731,3473
2036,70-74,1687,1747,3434
2036,75-79,1358,1560,2918
2036,80-84,914,1212,2126
2036,85-89,471,664,1135
2036,90-94,170,281,451
2036,95-99,69,108,177
2036,100+,0,0,0
2037,0-4,910,850,1760
2037,5-9,1071,999,2070
2037,10-14,1117,1039,2156
2037,15-19,914,882,1796
2037,20-24,946,825,1771
2037,25-29,932,895,1827
2037,30-34,1200,984,2184
2037,35-39,1638,1544,3182
2037,40-44,2119,1908,4027
2037,45-49,1820,1612,3432
2037,50-54,1769,1514,3283
2037,55-59,2042,1835,3877
2037,60-64,1723,1709,3432
2037,65-69,1679,1728,3407
2037,70-74,1661,1706,3367
2037,75-79,1366,1604,2970
2037,80-84,962,1243,2205
2037,85-89,523,732,1255
2037,90-94,169,282,451
2037,95-99,68,115,183
2037,100+,0,0,0
2038,0-4,875,818,1693
2038,5-9,1045,975,2020
2038,10-14,1119,1042,2161
2038,15-19,982,929,1911
2038,20-24,893,800,1693
2038,25-29,938,881,1819
2038,30-34,1138,946,2084
2038,35-39,1527,1432,2959
2038,40-44,2051,1877,3928
2038,45-49,1871,1646,3517
2038,50-54,1770,1536,3306
2038,55-59,1968,1789,3757
2038,60-64,1832,1724,3556
2038,65-69,1607,1714,3321
2038,70-74,1650,1681,3331
2038,75-79,1400,1644,3044
2038,80-84,981,1290,2271
2038,85-89,553,747,1300
2038,90-94,184,315,499
2038,95-99,68,116,184
2038,100+,0,0,0
2039,0-4,843,788,1631
2039,5-9,1016,947,1963
2039,10-14,1116,1041,2157
2039,15-19,1059,985,2044
2039,20-24,849,770,1619
2039,25-29,958,894,1852
2039,30-34,1071,915,1986
2039,35-39,1412,1323,2735
2039,40-44,1985,1843,3828
2039,45-49,1913,1680,3593
2039,50-54,1743,1495,3238
2039,55-59,1920,1784,3704
2039,60-64,1923,1752,3675
2039,65-69,1552,1660,3212
2039,70-74,1632,1654,3286
2039,75-79,1411,1676,3087
2039,80-84,1026,1304,2330
2039,85-89,574,812,1386
2039,90-94,194,339,533
2039,95-99,71,121,192
2039,100+,0,0,0
2040,0-4,811,760,1571
2040,5-9,983,916,1899
2040,10-14,1110,1036,2146
2040,15-19,1088,1011,2099
2040,20-24,861,786,1647
