year,male,female,total
2019,26178,24272,50450
2020,26125,24285,50410
2021,26066,24296,50362
2022,25997,24301,50298
2023,25927,24299,50226
2024,25847,24291,50138
2025,25775,24289,50064
2026,25697,24280,49977
2027,25609,24264,49873
2028,25515,24238,49753
2029,25404,24203,49607
2030,25279,24154,49433
2031,25142,24091,49233
2032,24990,24015,49005
2033,24828,23928,48756
2034,24649,23826,48475
2035,24487,23737,48224
2036,24307,23636,47943
2037,24111,23520,47631
2038,23904,23387,47291
2039,23688,23239,46927
2040,23453,23077,46530
2041,23210,22903,46113
2042,22956,22713,45669
2043,22697,22513,45210
2044,22434,22296,44730
2045,22187,22101,44288
2046,21927,21894,43821
2047,21669,21679,43348
2048,21397,21453,42850
2049,21121,21224,42345
2050,20847,20983,41830
2051,20564,20739,41303
2052,20281,20491,40772
2053,20003,20244,40247
2054,19723,19990,39713
2055,19455,19756,39211
2056,19192,19517,38709
2057,18924,19280,38204
2058,18657,19040,37697
2059,18394,18795,37189
2060,18126,18545,36671
2061,17857,18294,36151
2062,17583,18046,35629
2063,17311,17794,35105
2064,17036,17541,34577
2065,16773,17306,34079
