year,male,female,total
2019,6167,5905,12072
2020,6125,5869,11994
2021,6079,5834,11913
2022,6028,5801,11829
2023,5977,5768,11745
2024,5927,5733,11660
2025,5879,5700,11579
2026,5827,5666,11493
2027,5774,5628,11402
2028,5721,5589,11310
2029,5661,5550,11211
2030,5601,5507,11108
2031,5546,5464,11010
2032,5486,5414,10900
2033,5423,5359,10782
2034,5360,5306,10666
2035,5299,5262,10561
2036,5235,5216,10451
2037,5168,5168,10336
2038,5102,5116,10218
2039,5031,5061,10092
2040,4958,5005,9963
2041,4878,4949,9827
2042,4796,4891,9687
2043,4713,4829,9542
2044,4631,4764,9395
2045,4551,4704,9255
2046,4470,4640,9110
2047,4387,4574,8961
2048,4302,4507,8809
2049,4216,4439,8655
2050,4129,4368,8497
2051,4043,4298,8341
2052,3955,4224,8179
2053,3868,4153,8021
2054,3781,4082,7863
2055,3703,4016,7719
2056,3624,3947,7571
2057,3547,3876,7423
2058,3469,3806,7275
2059,3393,3737,7130
2060,3315,3661,6976
2061,3238,3583,6821
2062,3164,3501,6665
2063,3092,3418,6510
2064,3021,3337,6358
2065,2954,3262,6216
