year,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,0f,1f,2f,3f,4f,5f,6f,7f,8f,9f,10f,11f,12f,13f,14f,15f,16f,17f,18f,19f,20f,21f,22f,23f,24f,25f,26f,27f,28f,29f,30f,31f,32f,33f,34f,35f,36f,37f,38f,39f,40f,41f,42f,43f,44f,45f,46f,47f,48f,49f,50f,51f,52f,53f,54f,55f,56f,57f,58f,59f,60f,61f,62f,63f,64f,65f,66f,67f,68f,69f,70f,71f,72f,73f,74f,75f,76f,77f,78f,79f,80f,81f,82f,83f,84f,85f,86f,87f,88f,89f,90f,91f,92f,93f,94f,95f,96f,97f,98f,99f,100f
2019,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,33,34,20,21,24,10,17,17,10,6,15,10,2,3,6,5,3,7,6,4,8,7,2,4,2,0,1,2,0,1,1,1,2,0,0,0,1,0,0,0,0,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,6,10,1,2,1,1,2,4,1,2,1,3,0,0,0,0,0,0,0,0
2020,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,33,34,20,21,24,10,17,17,10,6,15,10,2,3,6,5,3,7,6,4,8,7,2,4,2,0,1,2,0,1,1,1,2,0,0,0,1,0,0,0,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,6,10,1,2,1,1,2,4,1,2,1,3,0,0,0,0,0,0,0
2021,19,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,33,34,20,21,24,10,17,17,10,6,15,10,2,3,6,5,3,7,6,4,7,6,2,4,2,0,1,2,0,1,1,1,2,0,0,0,1,0,0,17,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,6,9,1,2,1,1,2,4,1,2,1,3,0,0,0,0,0,0
2022,18,19,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,33,34,20,21,24,10,17,17,10,6,15,10,2,3,6,5,3,7,6,4,6,6,2,4,2,0,1,2,0,1,1,1,2,0,0,0,1,0,17,17,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,6,8,1,2,1,1,2,4,1,2,1,2,0,0,0,0,0
2023,18,18,19,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,33,34,20,21,24,10,17,17,10,6,15,10,2,3,6,5,3,7,6,4,6,5,2,4,2,0,1,2,0,1,1,1,2,0,0,0,0,16,17,17,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,6,7,1,2,1,1,2,3,1,2,1,2,0,0,0,0
2024,17,18,18,19,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,33,33,20,21,24,10,17,17,10,6,14,10,2,3,6,5,3,7,6,4,5,5,2,4,2,0,1,2,0,1,1,1,2,0,0,0,16,16,17,17,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,6,6,1,2,1,1,2,3,1,2,1,2,0,0,0
2025,17,17,18,18,19,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,33,32,20,21,24,10,17,17,10,6,13,10,2,3,6,5,3,7,6,4,5,5,2,4,2,0,1,2,0,1,1,1,2,0,0,16,16,16,17,17,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,6,6,1,2,1,1,2,3,1,2,1,2,0,0
2026,17,17,17,18,18,19,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,32,31,20,21,23,10,17,16,10,6,12,10,2,3,6,5,3,6,6,4,5,4,2,3,2,0,1,2,0,1,1,1,1,0,16,16,16,16,17,17,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,6,5,1,2,1,1,2,2,1,2,1,1,0
2027,17,17,17,17,18,18,19,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,33,25,31,30,20,21,22,10,16,15,10,6,11,10,2,3,6,5,3,6,5,4,4,4,2,3,2,0,1,2,0,1,1,1,0,16,16,16,16,16,17,17,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,6,5,4,1,2,1,1,2,2,1,2,1,0
2028,17,17,17,17,17,18,18,19,18,22,29,32,20,21,20,20,26,18,28,24,22,19,24,15,23,17,29,34,31,24,41,43,35,33,31,39,35,43,37,33,45,37,43,36,42,36,45,37,34,48,30,52,45,37,33,41,43,35,39,35,33,37,35,28,41,33,34,32,25,30,29,20,20,21,10,15,14,10,6,10,9,2,3,6,5,3,5,5,4,4,3,2,3,2,0,1,2,0,1,1,0,16,16,16,16,16,16,17,17,16,29,29,15,28,18,23,17,21,20,16,24,20,27,13,28,22,21,21,28,32,22,29,36,28,44,24,36,37,36,41,42,31,32,30,31,38,30,32,39,37,36,31,31,31,32,39,23,29,36,34,29,22,27,28,30,25,25,27,37,32,24,27,27,30,18,15,16,14,12,11,8,10,5,9,3,3,7,3,5,6,5,4,4,1,2,1,1,2,2,1,1,0
