year,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,0f,1f,2f,3f,4f,5f,6f,7f,8f,9f,10f,11f,12f,13f,14f,15f,16f,17f,18f,19f,20f,21f,22f,23f,24f,25f,26f,27f,28f,29f,30f,31f,32f,33f,34f,35f,36f,37f,38f,39f,40f,41f,42f,43f,44f,45f,46f,47f,48f,49f,50f,51f,52f,53f,54f,55f,56f,57f,58f,59f,60f,61f,62f,63f,64f,65f,66f,67f,68f,69f,70f,71f,72f,73f,74f,75f,76f,77f,78f,79f,80f,81f,82f,83f,84f,85f,86f,87f,88f,89f,90f,91f,92f,93f,94f,95f,96f,97f,98f,99f,100f
2019,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,49,56,62,57,54,55,51,61,52,44,49,37,46,28,25,25,24,20,14,12,22,6,25,15,33,24,13,32,13,14,17,12,11,17,14,7,8,9,4,2,1,2,1,0,0,0,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,25,20,21,18,21,17,8,14,22,26,34,36,17,28,21,25,15,26,23,13,14,14,9,13,6,7,2,1,0,0,0,1
2020,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,49,56,61,56,53,54,50,60,51,43,48,36,45,27,24,24,23,19,14,12,21,6,24,14,31,23,12,30,12,13,15,11,10,15,12,6,7,8,3,2,1,2,1,0,0,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,25,20,21,18,21,17,8,14,21,25,33,35,16,27,20,23,14,24,21,12,12,12,8,11,5,6,2,1,0,0,0
2021,12,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,49,55,60,55,52,53,49,59,50,42,47,35,44,26,23,23,22,18,14,12,20,6,23,13,29,21,11,28,11,12,13,10,9,13,10,5,6,7,2,2,1,1,1,0,11,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,25,20,21,18,21,17,8,14,20,24,32,33,15,26,19,21,13,22,19,11,11,10,7,9,4,5,2,1,0,0
2022,12,12,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,49,54,59,54,51,52,48,58,49,41,46,34,43,25,22,22,21,17,13,11,19,6,22,12,27,19,10,26,10,11,12,9,8,11,8,4,5,6,2,2,1,1,0,11,11,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,25,20,21,18,21,17,8,14,19,23,31,31,14,24,18,19,12,20,17,10,10,9,6,7,3,4,1,1,0
2023,12,12,12,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,49,53,58,53,50,51,47,57,48,40,45,33,42,24,21,21,20,16,12,10,18,6,21,11,25,18,9,24,9,10,11,8,7,9,7,3,4,5,2,1,1,0,12,11,11,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,25,20,21,18,20,17,8,14,18,22,29,29,13,22,17,17,11,18,15,9,9,8,5,6,2,3,1,0
2024,11,12,12,12,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,49,52,57,52,49,50,46,56,47,39,44,32,41,23,20,20,19,15,11,9,17,6,20,10,23,16,8,22,8,9,10,7,6,8,6,2,3,4,1,1,0,11,12,11,11,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,25,20,21,18,19,16,8,13,17,21,27,27,12,20,16,15,10,16,13,8,8,7,4,5,1,2,0
2025,11,11,12,12,12,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,49,51,56,51,48,49,45,55,46,38,43,31,40,22,19,19,18,14,10,9,16,6,19,9,21,15,7,20,7,8,9,6,5,7,5,2,2,3,1,0,11,11,12,11,11,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,25,20,21,18,18,15,8,12,16,20,25,25,11,18,15,13,9,14,11,7,7,6,3,4,1,0
2026,12,11,11,12,12,12,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,48,50,55,50,47,48,44,54,45,37,42,30,39,21,18,18,17,13,9,8,15,6,18,8,19,14,6,18,6,7,8,5,4,6,4,2,2,2,0,11,11,11,12,11,11,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,24,20,20,17,17,14,8,11,15,19,23,23,10,16,13,12,8,12,9,6,6,5,2,3,0
2027,11,12,11,11,12,12,12,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,50,42,47,49,54,49,46,47,43,53,44,36,41,29,38,20,17,17,16,12,8,7,14,6,17,7,17,13,5,16,5,6,7,4,3,5,3,2,1,0,11,11,11,11,12,11,11,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,23,19,19,16,16,13,8,10,14,18,21,21,9,14,12,10,7,10,7,5,5,4,1,0
2028,12,11,12,11,11,12,12,12,11,14,5,14,7,12,6,8,9,9,6,11,9,14,9,8,7,17,20,17,27,22,20,25,21,20,18,24,20,21,28,23,19,31,21,19,22,31,25,44,31,24,28,24,34,32,25,33,35,35,38,35,46,50,49,42,46,48,53,48,45,46,42,52,43,35,40,28,37,19,16,16,15,11,7,7,13,6,15,6,15,11,4,14,4,5,6,3,2,4,2,1,0,11,11,11,11,11,12,11,11,10,7,8,8,11,5,10,10,10,5,9,9,8,4,6,9,15,12,20,17,14,17,18,28,26,21,24,20,16,20,20,26,17,20,18,20,23,26,18,20,23,28,28,16,18,16,14,21,28,21,35,28,31,24,16,31,26,32,36,28,28,35,36,36,24,27,31,24,23,20,22,18,18,15,15,12,8,9,13,17,19,19,8,12,10,9,6,8,6,4,4,3,0
