year,male,female,total
2019,1962109,2052451,4014560
2020,1961038,2055715,4016753
2021,1959580,2058543,4018123
2022,1957400,2060632,4018032
2023,1954465,2061903,4016368
2024,1950800,2062373,4013173
2025,1947471,2063134,4010605
2026,1943390,2063089,4006479
2027,1938502,2062167,4000669
2028,1932645,2060231,3992876
2029,1925804,2057256,3983060
2030,1917926,2053147,3971073
2031,1909059,2047913,3956972
2032,1899140,2041507,3940647
2033,1888201,2033935,3922136
2034,1876237,2025149,3901386
2035,1865226,2017418,3882644
2036,1853145,2008419,3861564
2037,1840080,1998204,3838284
2038,1826098,1986806,3812904
2039,1811222,1974202,3785424
2040,1795431,1960365,3755796
2041,1778846,1945396,3724242
2042,1761606,1929374,3690980
2043,1743720,1912319,3656039
2044,1725234,1894229,3619463
2045,1708010,1877619,3585629
2046,1690189,1859921,3550110
2047,1671697,1840993,3512690
2048,1652683,1821065,3473748
2049,1633138,1800113,3433251
2050,1613269,1778483,3391752
2051,1592966,1755963,3348929
2052,1572359,1732873,3305232
2053,1551519,1709366,3260885
2054,1530494,1685493,3215987
2055,1510731,1663279,3174010
2056,1490704,1640598,3131302
2057,1470501,1617678,3088179
2058,1450047,1594298,3044345
2059,1429386,1570554,2999940
2060,1408559,1546639,2955198
2061,1387570,1522523,2910093
2062,1366425,1498161,2864586
2063,1345151,1473590,2818741
2064,1323827,1449085,2772912
2065,1303431,1425973,2729404
