year,male,female,total
2019,94631,102928,197559
2020,94532,103053,197585
2021,94424,103162,197586
2022,94297,103240,197537
2023,94151,103290,197441
2024,93987,103312,197299
2025,93864,103359,197223
2026,93733,103379,197112
2027,93584,103373,196957
2028,93420,103336,196756
2029,93228,103262,196490
2030,93008,103148,196156
2031,92764,102994,195758
2032,92492,102799,195291
2033,92178,102560,194738
2034,91826,102266,194092
2035,91518,102025,193543
2036,91156,101728,192884
2037,90747,101373,192120
2038,90290,100965,191255
2039,89778,100494,190272
2040,89214,99963,189177
2041,88590,99374,187964
2042,87928,98726,186654
2043,87215,98025,185240
2044,86456,97264,183720
2045,85737,96565,182302
2046,84975,95804,180779
2047,84168,94977,179145
2048,83316,94085,177401
2049,82418,93129,175547
2050,81496,92132,173628
2051,80540,91080,171620
2052,79564,89983,169547
2053,78564,88861,167425
2054,77549,87708,165257
2055,76592,86623,163215
2056,75621,85493,161114
2057,74643,84339,158982
2058,73652,83144,156796
2059,72659,81931,154590
2060,71667,80692,152359
2061,70672,79429,150101
2062,69677,78152,147829
2063,68689,76850,145539
2064,67702,75548,143250
2065,66769,74319,141088
