year,male,female,total
2019,29243,29790,59033
2020,29200,29784,58984
2021,29145,29774,58919
2022,29073,29750,58823
2023,29002,29718,58720
2024,28916,29678,58594
2025,28836,29645,58481
2026,28745,29602,58347
2027,28638,29550,58188
2028,28514,29481,57995
2029,28371,29394,57765
2030,28223,29304,57527
2031,28060,29202,57262
2032,27889,29089,56978
2033,27697,28964,56661
2034,27494,28819,56313
2035,27310,28702,56012
2036,27111,28568,55679
2037,26898,28419,55317
2038,26673,28249,54922
2039,26437,28070,54507
2040,26187,27874,54061
2041,25934,27663,53597
2042,25665,27442,53107
2043,25391,27205,52596
2044,25114,26959,52073
2045,24852,26735,51587
2046,24581,26495,51076
2047,24304,26240,50544
2048,24018,25969,49987
2049,23726,25685,49411
2050,23433,25396,48829
2051,23136,25088,48224
2052,22833,24777,47610
2053,22532,24460,46992
2054,22229,24141,46370
2055,21948,23845,45793
2056,21662,23537,45199
2057,21368,23232,44600
2058,21077,22918,43995
2059,20786,22597,43383
2060,20488,22274,42762
2061,20191,21946,42137
2062,19891,21625,41516
2063,19589,21291,40880
2064,19284,20958,40242
2065,18997,20645,39642
