year,male,female,total
2019,25964,26833,52797
2020,25908,26840,52748
2021,25868,26843,52711
2022,25819,26843,52662
2023,25762,26834,52596
2024,25696,26817,52513
2025,25638,26804,52442
2026,25568,26782,52350
2027,25490,26744,52234
2028,25397,26691,52088
2029,25296,26629,51925
2030,25173,26554,51727
2031,25036,26462,51498
2032,24879,26351,51230
2033,24713,26220,50933
2034,24522,26068,50590
2035,24344,25935,50279
2036,24143,25779,49922
2037,23928,25602,49530
2038,23696,25407,49103
2039,23448,25193,48641
2040,23186,24965,48151
2041,22917,24718,47635
2042,22639,24458,47097
2043,22354,24187,46541
2044,22060,23905,45965
2045,21788,23644,45432
2046,21509,23373,44882
2047,21223,23087,44310
2048,20934,22794,43728
2049,20644,22493,43137
2050,20352,22182,42534
2051,20066,21865,41931
2052,19774,21543,41317
2053,19490,21221,40711
2054,19206,20902,40108
2055,18939,20601,39540
2056,18671,20302,38973
2057,18406,20000,38406
2058,18139,19698,37837
2059,17871,19398,37269
2060,17606,19099,36705
2061,17343,18799,36142
2062,17074,18497,35571
2063,16799,18194,34993
2064,16529,17890,34419
2065,16270,17607,33877
