year,male,female,total
2019,18423,17020,35443
2020,18372,17007,35379
2021,18313,16990,35303
2022,18252,16977,35229
2023,18189,16954,35143
2024,18113,16927,35040
2025,18040,16907,34947
2026,17961,16879,34840
2027,17876,16843,34719
2028,17775,16800,34575
2029,17665,16748,34413
2030,17547,16687,34234
2031,17418,16618,34036
2032,17283,16541,33824
2033,17139,16459,33598
2034,16983,16365,33348
2035,16841,16285,33126
2036,16692,16194,32886
2037,16531,16097,32628
2038,16372,15990,32362
2039,16193,15877,32070
2040,16014,15757,31771
2041,15823,15632,31455
2042,15629,15498,31127
2043,15430,15355,30785
2044,15226,15210,30436
2045,15033,15073,30106
2046,14844,14936,29780
2047,14645,14791,29436
2048,14449,14636,29085
2049,14249,14477,28726
2050,14046,14315,28361
2051,13845,14149,27994
2052,13639,13983,27622
2053,13434,13806,27240
2054,13231,13632,26863
2055,13041,13471,26512
2056,12847,13302,26149
2057,12658,13134,25792
2058,12462,12960,25422
2059,12268,12783,25051
2060,12070,12607,24677
2061,11875,12429,24304
2062,11674,12243,23917
2063,11475,12069,23544
2064,11278,11890,23168
2065,11089,11724,22813
