year,male,female,total
2019,17488,17001,34489
2020,17479,17033,34512
2021,17470,17061,34531
2022,17456,17083,34539
2023,17427,17098,34525
2024,17397,17107,34504
2025,17376,17122,34498
2026,17344,17132,34476
2027,17298,17129,34427
2028,17244,17116,34360
2029,17181,17094,34275
2030,17106,17060,34166
2031,17019,17019,34038
2032,16918,16961,33879
2033,16809,16894,33703
2034,16689,16813,33502
2035,16576,16739,33315
2036,16451,16656,33107
2037,16314,16563,32877
2038,16168,16458,32626
2039,16016,16342,32358
2040,15853,16215,32068
2041,15685,16079,31764
2042,15509,15934,31443
2043,15323,15778,31101
2044,15131,15615,30746
2045,14949,15464,30413
2046,14765,15307,30072
2047,14580,15140,29720
2048,14388,14963,29351
2049,14197,14779,28976
2050,14004,14594,28598
2051,13809,14402,28211
2052,13617,14207,27824
2053,13419,14007,27426
2054,13225,13815,27040
2055,13042,13631,26673
2056,12857,13444,26301
2057,12670,13260,25930
2058,12483,13072,25555
2059,12295,12882,25177
2060,12110,12686,24796
2061,11918,12494,24412
2062,11720,12297,24017
2063,11521,12105,23626
2064,11322,11912,23234
2065,11132,11731,22863
