year,male,female,total
2019,9773,9304,19077
2020,9746,9304,19050
2021,9715,9302,19017
2022,9680,9303,18983
2023,9645,9297,18942
2024,9608,9285,18893
2025,9576,9281,18857
2026,9539,9271,18810
2027,9501,9257,18758
2028,9458,9244,18702
2029,9416,9226,18642
2030,9363,9205,18568
2031,9307,9180,18487
2032,9251,9150,18401
2033,9193,9113,18306
2034,9130,9073,18203
2035,9073,9038,18111
2036,9009,8999,18008
2037,8938,8953,17891
2038,8861,8901,17762
2039,8777,8847,17624
2040,8685,8784,17469
2041,8591,8719,17310
2042,8494,8652,17146
2043,8393,8579,16972
2044,8289,8503,16792
2045,8194,8433,16627
2046,8098,8361,16459
2047,7996,8291,16287
2048,7890,8212,16102
2049,7782,8125,15907
2050,7672,8040,15712
2051,7565,7948,15513
2052,7457,7858,15315
2053,7346,7765,15111
2054,7237,7674,14911
2055,7136,7591,14727
2056,7034,7503,14537
2057,6930,7419,14349
2058,6829,7329,14158
2059,6729,7235,13964
2060,6622,7138,13760
2061,6517,7038,13555
2062,6412,6938,13350
2063,6308,6837,13145
2064,6206,6736,12942
2065,6111,6638,12749
