year,male,female,total
2019,34469,33618,68087
2020,34467,33689,68156
2021,34458,33745,68203
2022,34436,33792,68228
2023,34398,33829,68227
2024,34347,33860,68207
2025,34299,33893,68192
2026,34234,33914,68148
2027,34155,33921,68076
2028,34061,33916,67977
2029,33950,33893,67843
2030,33816,33855,67671
2031,33664,33799,67463
2032,33495,33726,67221
2033,33309,33633,66942
2034,33108,33524,66632
2035,32920,33428,66348
2036,32718,33314,66032
2037,32500,33181,65681
2038,32261,33029,65290
2039,32011,32861,64872
2040,31742,32677,64419
2041,31464,32473,63937
2042,31176,32251,63427
2043,30877,32015,62892
2044,30565,31761,62326
2045,30274,31532,61806
2046,29980,31284,61264
2047,29671,31017,60688
2048,29348,30732,60080
2049,29017,30428,59445
2050,28684,30114,58798
2051,28341,29784,58125
2052,27995,29445,57440
2053,27645,29095,56740
2054,27291,28738,56029
2055,26956,28404,55360
2056,26610,28061,54671
2057,26267,27712,53979
2058,25919,27352,53271
2059,25559,26988,52547
2060,25205,26620,51825
2061,24845,26247,51092
2062,24483,25874,50357
2063,24113,25498,49611
2064,23744,25116,48860
2065,23386,24761,48147
