year,male,female,total
2019,125513,136196,261709
2020,125549,136485,262034
2021,125534,136722,262256
2022,125463,136903,262366
2023,125335,137024,262359
2024,125155,137082,262237
2025,124986,137167,262153
2026,124763,137193,261956
2027,124491,137169,261660
2028,124156,137074,261230
2029,123755,136907,260662
2030,123283,136666,259949
2031,122743,136346,259089
2032,122138,135953,258091
2033,121476,135483,256959
2034,120745,134931,255676
2035,120078,134452,254530
2036,119350,133893,253243
2037,118559,133251,251810
2038,117716,132531,250247
2039,116814,131729,248543
2040,115854,130851,246705
2041,114852,129895,244747
2042,113800,128864,242664
2043,112711,127763,240474
2044,111583,126588,238171
2045,110537,125510,236047
2046,109457,124361,233818
2047,108330,123128,231458
2048,107162,121817,228979
2049,105965,120438,226403
2050,104743,119016,223759
2051,103502,117520,221022
2052,102236,115993,218229
2053,100951,114446,215397
2054,99664,112868,212532
2055,98451,111392,209843
2056,97223,109891,207114
2057,95989,108375,204364
2058,94734,106832,201566
2059,93473,105271,198744
2060,92195,103670,195865
2061,90914,102074,192988
2062,89619,100457,190076
2063,88316,98828,187144
2064,87005,97193,184198
2065,85752,95651,181403
