year,male,female,total
2019,36439,34883,71322
2020,36362,34891,71253
2021,36287,34899,71186
2022,36204,34892,71096
2023,36112,34882,70994
2024,36011,34865,70876
2025,35922,34860,70782
2026,35826,34848,70674
2027,35721,34828,70549
2028,35600,34788,70388
2029,35463,34741,70204
2030,35311,34680,69991
2031,35144,34599,69743
2032,34957,34499,69456
2033,34752,34381,69133
2034,34529,34240,68769
2035,34319,34124,68443
2036,34083,33980,68063
2037,33831,33815,67646
2038,33552,33629,67181
2039,33261,33424,66685
2040,32950,33195,66145
2041,32624,32950,65574
2042,32277,32692,64969
2043,31915,32413,64328
2044,31543,32118,63661
2045,31191,31845,63036
2046,30826,31553,62379
2047,30448,31239,61687
2048,30062,30914,60976
2049,29671,30575,60246
2050,29274,30229,59503
2051,28880,29871,58751
2052,28481,29507,57988
2053,28082,29134,57216
2054,27682,28758,56440
2055,27307,28416,55723
2056,26932,28064,54996
2057,26556,27708,54264
2058,26184,27349,53533
2059,25818,26983,52801
2060,25450,26613,52063
2061,25080,26246,51326
2062,24711,25878,50589
2063,24338,25503,49841
2064,23964,25133,49097
2065,23607,24783,48390
