year,male,female,total
2019,15422,14609,30031
2020,15388,14618,30006
2021,15347,14619,29966
2022,15302,14614,29916
2023,15248,14602,29850
2024,15192,14585,29777
2025,15139,14570,29709
2026,15080,14549,29629
2027,15015,14525,29540
2028,14937,14489,29426
2029,14854,14445,29299
2030,14767,14396,29163
2031,14670,14338,29008
2032,14568,14273,28841
2033,14458,14200,28658
2034,14338,14118,28456
2035,14226,14045,28271
2036,14108,13967,28075
2037,13983,13878,27861
2038,13851,13783,27634
2039,13709,13678,27387
2040,13559,13567,27126
2041,13402,13449,26851
2042,13241,13325,26566
2043,13076,13197,26273
2044,12905,13061,25966
2045,12741,12939,25680
2046,12577,12810,25387
2047,12410,12677,25087
2048,12238,12536,24774
2049,12060,12393,24453
2050,11881,12249,24130
2051,11700,12100,23800
2052,11518,11951,23469
2053,11334,11797,23131
2054,11157,11645,22802
2055,10985,11504,22489
2056,10814,11361,22175
2057,10642,11220,21862
2058,10471,11071,21542
2059,10292,10922,21214
2060,10115,10764,20879
2061,9938,10603,20541
2062,9760,10444,20204
2063,9583,10279,19862
2064,9403,10115,19518
2065,9232,9959,19191
