年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-64歲,超過64歲,超過20歲,18-19歲
2018-11,65000010-001,新北市板橋區,留侯里,681,1649,784,865,219,1161,269,1357,35
2018-11,65000010-002,新北市板橋區,流芳里,644,1569,731,838,228,1061,280,1268,29
2018-11,65000010-003,新北市板橋區,赤松里,323,837,403,434,134,552,151,661,17
2018-11,65000010-004,新北市板橋區,黃石里,430,1134,567,567,199,728,207,880,23
2018-11,65000010-005,新北市板橋區,挹秀里,801,1882,917,965,266,1252,364,1538,37
2018-11,65000010-006,新北市板橋區,湳興里,2325,5549,2640,2909,672,4045,832,4617,113
2018-11,65000010-007,新北市板橋區,新興里,1522,3327,1587,1740,347,2411,569,2834,55
2018-11,65000010-008,新北市板橋區,社後里,5133,9342,5249,4093,633,7074,1635,8363,150
2018-11,65000010-009,新北市板橋區,香社里,1588,4411,2196,2215,501,3265,645,3682,110
2018-11,65000010-010,新北市板橋區,中正里,1635,4514,2211,2303,597,3318,599,3675,110
2018-11,65000010-011,新北市板橋區,自強里,2053,5356,2623,2733,677,3548,1131,4492,86
2018-11,65000010-012,新北市板橋區,自立里,1087,2897,1407,1490,320,2087,490,2436,51
2018-11,65000010-013,新北市板橋區,光華里,1127,2813,1368,1445,336,2008,469,2355,63
2018-11,65000010-014,新北市板橋區,國光里,1549,3813,1823,1990,304,2765,744,3289,107
2018-11,65000010-015,新北市板橋區,港尾里,1114,3056,1451,1605,429,2259,368,2459,67
2018-11,65000010-016,新北市板橋區,金華里,1472,4135,2018,2117,516,2971,648,3429,89
2018-11,65000010-017,新北市板橋區,港德里,1940,4972,2434,2538,572,3505,895,4155,102
2018-11,65000010-018,新北市板橋區,民權里,1088,2739,1328,1411,290,1885,564,2319,55
2018-11,65000010-019,新北市板橋區,建國里,1437,3708,1788,1920,403,2666,639,3134,71
2018-11,65000010-020,新北市板橋區,漢生里,1672,4386,2130,2256,654,2935,797,3552,74
2018-11,65000010-021,新北市板橋區,公舘里,1488,4023,1985,2038,555,2854,614,3211,103
2018-11,65000010-022,新北市板橋區,新民里,1737,4611,2272,2339,770,3148,693,3598,88
2018-11,65000010-023,新北市板橋區,幸福里,1505,4068,2013,2055,471,2953,644,3391,100
2018-11,65000010-024,新北市板橋區,忠誠里,1722,4279,2073,2206,555,2955,769,3493,108
2018-11,65000010-025,新北市板橋區,百壽里,1144,2841,1346,1495,488,1938,415,2212,56
2018-11,65000010-026,新北市板橋區,介壽里,1265,3262,1553,1709,510,2201,551,2614,63
2018-11,65000010-027,新北市板橋區,新埔里,892,2139,1035,1104,199,1534,406,1854,41
2018-11,65000010-028,新北市板橋區,華江里,3248,7897,3653,4244,1469,5546,882,6002,174
2018-11,65000010-029,新北市板橋區,江翠里,1921,5066,2518,2548,535,3777,754,4259,106
2018-11,65000010-030,新北市板橋區,純翠里,2096,5608,2716,2892,668,4149,791,4675,125
2018-11,65000010-031,新北市板橋區,溪頭里,2431,6261,3082,3179,778,4579,904,5154,145
2018-11,65000010-032,新北市板橋區,聯翠里,1653,3775,1799,1976,397,2779,599,3171,81
2018-11,65000010-033,新北市板橋區,宏翠里,2236,5021,2366,2655,587,3820,614,4199,116
2018-11,65000010-034,新北市板橋區,仁翠里,1104,2917,1417,1500,289,2125,503,2488,55
2018-11,65000010-035,新北市板橋區,新翠里,3107,8076,3890,4186,906,6211,959,6669,229
2018-11,65000010-036,新北市板橋區,吉翠里,1367,3921,1916,2005,489,2907,525,3244,91
2018-11,65000010-037,新北市板橋區,德翠里,2740,7641,3735,3906,1136,5840,665,6053,202
2018-11,65000010-038,新北市板橋區,滿翠里,1146,3035,1457,1578,294,2203,538,2583,60
2018-11,65000010-039,新北市板橋區,明翠里,1949,4888,2371,2517,481,3589,818,4152,110
2018-11,65000010-040,新北市板橋區,松翠里,1376,3468,1677,1791,394,2551,523,2898,82
2018-11,65000010-041,新北市板橋區,柏翠里,1788,4302,2045,2257,546,3108,648,3550,97
2018-11,65000010-042,新北市板橋區,龍翠里,2011,5196,2524,2672,552,3921,723,4378,98
2018-11,65000010-043,新北市板橋區,華翠里,1402,3801,1822,1979,586,2702,513,3031,82
2018-11,65000010-044,新北市板橋區,忠翠里,4468,11025,5197,5828,1769,8138,1118,8566,305
2018-11,65000010-045,新北市板橋區,嵐翠里,972,2551,1278,1273,285,1862,404,2142,52
2018-11,65000010-046,新北市板橋區,文翠里,1581,4168,2038,2130,441,3063,664,3518,91
2018-11,65000010-047,新北市板橋區,青翠里,1201,3077,1576,1501,311,2279,487,2629,59
2018-11,65000010-048,新北市板橋區,懷翠里,2251,6206,3050,3156,646,4736,824,5202,178
2018-11,65000010-049,新北市板橋區,福翠里,562,1373,688,685,138,979,256,1186,22
2018-11,65000010-050,新北市板橋區,港嘴里,2434,6251,3071,3180,652,4765,834,5334,129
2018-11,65000010-051,新北市板橋區,振興里,1694,4566,2237,2329,441,3407,718,3892,97
2018-11,65000010-052,新北市板橋區,振義里,1646,4346,2127,2219,434,3264,648,3646,130
2018-11,65000010-053,新北市板橋區,光復里,1366,3473,1766,1707,396,2586,491,2876,87
2018-11,65000010-054,新北市板橋區,埔墘里,2579,6432,3060,3372,644,4932,856,5470,146
2018-11,65000010-055,新北市板橋區,長壽里,1073,2989,1486,1503,325,2147,517,2525,68
2018-11,65000010-056,新北市板橋區,福壽里,1287,3403,1676,1727,328,2608,467,2887,84
2018-11,65000010-057,新北市板橋區,海山里,2872,8495,4040,4455,1709,5829,957,6259,225
2018-11,65000010-058,新北市板橋區,九如里,1080,2950,1423,1527,350,2153,447,2418,82
2018-11,65000010-059,新北市板橋區,玉光里,2206,5641,2674,2967,880,4044,717,4443,129
2018-11,65000010-060,新北市板橋區,光仁里,1047,3064,1515,1549,460,2124,480,2443,70
2018-11,65000010-061,新北市板橋區,埤墘里,1809,4754,2286,2468,842,3302,610,3684,92
2018-11,65000010-062,新北市板橋區,永安里,1407,3611,1753,1858,512,2594,505,2912,75
2018-11,65000010-063,新北市板橋區,雙玉里,1593,4417,2119,2298,735,3085,597,3380,116
2018-11,65000010-064,新北市板橋區,廣新里,1279,3749,1846,1903,568,2623,558,2978,74
2018-11,65000010-065,新北市板橋區,深丘里,3726,9329,4481,4848,1841,6403,1085,6974,209
2018-11,65000010-066,新北市板橋區,香丘里,1491,3995,1924,2071,692,2759,544,3104,89
2018-11,65000010-067,新北市板橋區,西安里,1069,2884,1402,1482,396,2048,440,2327,69
