year,male,female,total
2019,19126,17965,37091
2020,19120,17991,37111
2021,19109,18010,37119
2022,19098,18029,37127
2023,19079,18043,37122
2024,19057,18044,37101
2025,19035,18051,37086
2026,19006,18052,37058
2027,18959,18045,37004
2028,18908,18032,36940
2029,18846,18009,36855
2030,18773,17981,36754
2031,18689,17941,36630
2032,18598,17892,36490
2033,18497,17839,36336
2034,18380,17776,36156
2035,18276,17722,35998
2036,18157,17658,35815
2037,18029,17580,35609
2038,17891,17495,35386
2039,17740,17403,35143
2040,17578,17299,34877
2041,17408,17189,34597
2042,17233,17070,34303
2043,17056,16946,34002
2044,16872,16815,33687
2045,16701,16696,33397
2046,16527,16573,33100
2047,16347,16436,32783
2048,16166,16293,32459
2049,15977,16145,32122
2050,15789,15990,31779
2051,15598,15830,31428
2052,15405,15666,31071
2053,15211,15503,30714
2054,15017,15327,30344
2055,14832,15164,29996
2056,14647,14999,29646
2057,14458,14833,29291
2058,14266,14660,28926
2059,14070,14483,28553
2060,13868,14306,28174
2061,13657,14125,27782
2062,13447,13936,27383
2063,13238,13748,26986
2064,13026,13557,26583
2065,12821,13378,26199
