year,male,female,total
2019,5844,5162,11006
2020,5818,5155,10973
2021,5792,5148,10940
2022,5764,5137,10901
2023,5735,5127,10862
2024,5703,5116,10819
2025,5674,5106,10780
2026,5642,5096,10738
2027,5607,5082,10689
2028,5572,5065,10637
2029,5537,5044,10581
2030,5501,5022,10523
2031,5461,5000,10461
2032,5420,4978,10398
2033,5375,4951,10326
2034,5327,4922,10249
2035,5284,4898,10182
2036,5237,4871,10108
2037,5187,4842,10029
2038,5136,4808,9944
2039,5081,4773,9854
2040,5022,4732,9754
2041,4963,4691,9654
2042,4901,4647,9548
2043,4842,4603,9445
2044,4781,4557,9338
2045,4722,4514,9236
2046,4659,4465,9124
2047,4593,4415,9008
2048,4523,4361,8884
2049,4450,4307,8757
2050,4379,4254,8633
2051,4310,4199,8509
2052,4242,4141,8383
2053,4173,4083,8256
2054,4105,4027,8132
2055,4039,3975,8014
2056,3975,3923,7898
2057,3914,3872,7786
2058,3850,3819,7669
2059,3787,3767,7554
2060,3727,3715,7442
2061,3671,3664,7335
2062,3614,3611,7225
2063,3558,3557,7115
2064,3504,3504,7008
2065,3451,3453,6904
