year,male,female,total
2019,11980,11075,23055
2020,11880,10994,22874
2021,11780,10916,22696
2022,11676,10836,22512
2023,11566,10760,22326
2024,11455,10677,22132
2025,11346,10608,21954
2026,11236,10532,21768
2027,11125,10452,21577
2028,11016,10369,21385
2029,10901,10283,21184
2030,10783,10196,20979
2031,10655,10105,20760
2032,10530,10015,20545
2033,10396,9922,20318
2034,10264,9827,20091
2035,10140,9745,19885
2036,10009,9657,19666
2037,9873,9570,19443
2038,9734,9477,19211
2039,9595,9380,18975
2040,9446,9279,18725
2041,9295,9172,18467
2042,9142,9060,18202
2043,8985,8949,17934
2044,8830,8837,17667
2045,8682,8735,17417
2046,8539,8630,17169
2047,8394,8521,16915
2048,8244,8408,16652
2049,8093,8296,16389
2050,7943,8183,16126
2051,7797,8067,15864
2052,7656,7948,15604
2053,7516,7829,15345
2054,7376,7714,15090
2055,7248,7611,14859
2056,7120,7505,14625
2057,6995,7397,14392
2058,6874,7289,14163
2059,6755,7180,13935
2060,6638,7071,13709
2061,6526,6961,13487
2062,6414,6854,13268
2063,6303,6745,13048
2064,6197,6636,12833
2065,6097,6534,12631
