year,male,female,total
2019,21334,21921,43255
2020,21232,21856,43088
2021,21128,21791,42919
2022,21021,21711,42732
2023,20905,21627,42532
2024,20783,21528,42311
2025,20670,21438,42108
2026,20552,21345,41897
2027,20427,21249,41676
2028,20297,21144,41441
2029,20154,21031,41185
2030,20009,20913,40922
2031,19858,20787,40645
2032,19698,20659,40357
2033,19535,20521,40056
2034,19364,20378,39742
2035,19211,20258,39469
2036,19051,20130,39181
2037,18889,19995,38884
2038,18723,19855,38578
2039,18553,19710,38263
2040,18374,19554,37928
2041,18186,19384,37570
2042,17993,19213,37206
2043,17794,19032,36826
2044,17582,18834,36416
2045,17388,18658,36046
2046,17185,18473,35658
2047,16971,18275,35246
2048,16747,18061,34808
2049,16517,17834,34351
2050,16281,17601,33882
2051,16042,17365,33407
2052,15809,17118,32927
2053,15571,16871,32442
2054,15334,16626,31960
2055,15111,16397,31508
2056,14888,16170,31058
2057,14666,15943,30609
2058,14444,15711,30155
2059,14225,15478,29703
2060,14004,15250,29254
2061,13791,15022,28813
2062,13582,14792,28374
2063,13374,14557,27931
2064,13169,14326,27495
2065,12975,14107,27082
