year,male,female,total
2019,9366,8176,17542
2020,9300,8140,17440
2021,9237,8107,17344
2022,9171,8070,17241
2023,9097,8031,17128
2024,9019,7991,17010
2025,8946,7955,16901
2026,8869,7918,16787
2027,8791,7879,16670
2028,8713,7836,16549
2029,8625,7789,16414
2030,8537,7741,16278
2031,8446,7687,16133
2032,8349,7627,15976
2033,8245,7563,15808
2034,8138,7500,15638
2035,8036,7441,15477
2036,7931,7381,15312
2037,7823,7317,15140
2038,7711,7251,14962
2039,7591,7179,14770
2040,7469,7107,14576
2041,7343,7030,14373
2042,7220,6950,14170
2043,7098,6864,13962
2044,6970,6774,13744
2045,6848,6692,13540
2046,6725,6610,13335
2047,6603,6527,13130
2048,6480,6442,12922
2049,6357,6353,12710
2050,6238,6264,12502
2051,6123,6171,12294
2052,6003,6081,12084
2053,5890,5990,11880
2054,5776,5901,11677
2055,5673,5817,11490
2056,5574,5730,11304
2057,5472,5645,11117
2058,5375,5559,10934
2059,5279,5476,10755
2060,5185,5392,10577
2061,5093,5308,10401
2062,5004,5223,10227
2063,4917,5142,10059
2064,4831,5063,9894
2065,4749,4989,9738
