year,male,female,total
2019,1479,1122,2601
2020,1487,1130,2617
2021,1494,1138,2632
2022,1501,1145,2646
2023,1508,1152,2660
2024,1515,1158,2673
2025,1520,1164,2684
2026,1521,1171,2692
2027,1521,1178,2699
2028,1516,1183,2699
2029,1510,1189,2699
2030,1503,1195,2698
2031,1497,1196,2693
2032,1488,1194,2682
2033,1476,1194,2670
2034,1461,1188,2649
2035,1449,1189,2638
2036,1435,1181,2616
2037,1420,1175,2595
2038,1406,1165,2571
2039,1390,1155,2545
2040,1373,1144,2517
2041,1357,1133,2490
2042,1338,1122,2460
2043,1321,1111,2432
2044,1304,1099,2403
2045,1292,1090,2382
2046,1277,1078,2355
2047,1262,1068,2330
2048,1247,1057,2304
2049,1230,1047,2277
2050,1214,1037,2251
2051,1196,1027,2223
2052,1180,1017,2197
2053,1163,1004,2167
2054,1145,993,2138
2055,1129,983,2112
2056,1112,972,2084
2057,1092,961,2053
2058,1076,950,2026
2059,1056,937,1993
2060,1038,918,1956
2061,1023,904,1927
2062,1008,888,1896
2063,988,874,1862
2064,968,859,1827
2065,948,846,1794
