year,male,female,total
2019,4106,3646,7752
2020,4082,3634,7716
2021,4058,3622,7680
2022,4034,3611,7645
2023,4011,3598,7609
2024,3990,3582,7572
2025,3970,3568,7538
2026,3945,3554,7499
2027,3919,3539,7458
2028,3890,3521,7411
2029,3861,3505,7366
2030,3831,3490,7321
2031,3799,3471,7270
2032,3763,3449,7212
2033,3724,3427,7151
2034,3683,3399,7082
2035,3651,3378,7029
2036,3611,3355,6966
2037,3571,3330,6901
2038,3530,3303,6833
2039,3488,3275,6763
2040,3444,3244,6688
2041,3402,3213,6615
2042,3356,3180,6536
2043,3308,3146,6454
2044,3260,3112,6372
2045,3215,3081,6296
2046,3168,3050,6218
2047,3124,3017,6141
2048,3076,2981,6057
2049,3029,2944,5973
2050,2982,2907,5889
2051,2934,2868,5802
2052,2884,2829,5713
2053,2833,2787,5620
2054,2782,2744,5526
2055,2732,2704,5436
2056,2681,2662,5343
2057,2632,2621,5253
2058,2584,2581,5165
2059,2535,2543,5078
2060,2488,2503,4991
2061,2439,2465,4904
2062,2390,2427,4817
2063,2342,2390,4732
2064,2298,2351,4649
2065,2256,2312,4568
