year,male,female,total
2019,5870,5053,10923
2020,5845,5053,10898
2021,5820,5053,10873
2022,5796,5051,10847
2023,5768,5046,10814
2024,5743,5041,10784
2025,5723,5041,10764
2026,5696,5040,10736
2027,5669,5035,10704
2028,5640,5031,10671
2029,5612,5024,10636
2030,5576,5013,10589
2031,5541,4997,10538
2032,5501,4980,10481
2033,5456,4960,10416
2034,5409,4936,10345
2035,5365,4917,10282
2036,5316,4894,10210
2037,5266,4867,10133
2038,5212,4841,10053
2039,5154,4809,9963
2040,5095,4777,9872
2041,5033,4743,9776
2042,4970,4705,9675
2043,4908,4663,9571
2044,4844,4620,9464
2045,4786,4582,9368
2046,4725,4540,9265
2047,4660,4495,9155
2048,4593,4445,9038
2049,4527,4394,8921
2050,4454,4347,8801
2051,4380,4299,8679
2052,4307,4248,8555
2053,4233,4192,8425
2054,4160,4133,8293
2055,4092,4081,8173
2056,4025,4027,8052
2057,3961,3973,7934
2058,3897,3923,7820
2059,3833,3872,7705
2060,3771,3819,7590
2061,3711,3768,7479
2062,3651,3718,7369
2063,3595,3668,7263
2064,3542,3616,7158
2065,3490,3570,7060
