區域,年出生數,年死亡數,年中人口(6月底),粗出生率,粗死亡率
全國,177767,176296,23591031,7.54,7.47
南投縣,3174,4918,495283,6.41,9.93
南投縣中寮鄉,77,194,14604,5.27,13.28
南投縣仁愛鄉,190,159,15827,12,10.05
南投縣信義鄉,168,179,16047,10.47,11.15
南投縣南投市,553,817,99364,5.57,8.22
南投縣名間鄉,259,421,38092,6.8,11.05
南投縣國姓鄉,81,244,18400,4.4,13.26
南投縣埔里鎮,426,812,80218,5.31,10.12
南投縣水里鄉,107,218,17361,6.16,12.56
南投縣竹山鎮,340,584,54157,6.28,10.78
南投縣草屯鎮,718,757,97291,7.38,7.78
南投縣集集鎮,62,144,10687,5.8,13.47
南投縣魚池鄉,89,193,15680,5.68,12.31
南投縣鹿谷鄉,104,196,17555,5.92,11.16
嘉義市,1722,2049,268435,6.41,7.63
嘉義市東區,725,954,121167,5.98,7.87
嘉義市西區,997,1095,147268,6.77,7.44
嘉義縣,2966,5568,504750,5.88,11.03
嘉義縣中埔鄉,271,438,44364,6.11,9.87
嘉義縣六腳鄉,111,357,22697,4.89,15.73
嘉義縣大埔鄉,37,34,4595,8.05,7.4
嘉義縣大林鎮,165,343,30864,5.35,11.11
嘉義縣太保市,297,281,38166,7.78,7.36
嘉義縣布袋鎮,144,355,26503,5.43,13.39
嘉義縣新港鄉,146,348,31606,4.62,11.01
嘉義縣朴子市,268,418,42081,6.37,9.93
嘉義縣東石鄉,126,350,24314,5.18,14.39
嘉義縣梅山鄉,96,232,19088,5.03,12.15
嘉義縣民雄鄉,413,626,71355,5.79,8.77
嘉義縣水上鄉,295,505,49225,5.99,10.26
嘉義縣溪口鄉,62,197,14395,4.31,13.69
嘉義縣番路鄉,63,133,11324,5.56,11.74
嘉義縣竹崎鄉,254,394,35345,7.19,11.15
嘉義縣義竹鄉,94,286,18054,5.21,15.84
嘉義縣阿里山鄉,55,55,5559,9.89,9.89
嘉義縣鹿草鄉,69,216,15215,4.53,14.2
基隆市,2084,3148,369475,5.64,8.52
基隆市七堵區,313,407,53783,5.82,7.57
基隆市中山區,261,459,47156,5.53,9.73
基隆市中正區,316,499,51532,6.13,9.68
基隆市仁愛區,171,463,43447,3.94,10.66
基隆市信義區,282,421,52614,5.36,8
基隆市安樂區,488,582,82332,5.93,7.07
基隆市暖暖區,253,317,38611,6.55,8.21
宜蘭縣,3096,3991,454706,6.81,8.78
宜蘭縣三星鄉,96,227,21381,4.49,10.62
宜蘭縣五結鄉,336,357,39697,8.46,8.99
宜蘭縣冬山鄉,407,421,52979,7.68,7.95
宜蘭縣南澳鄉,105,39,5971,17.58,6.53
宜蘭縣員山鄉,192,326,32264,5.95,10.1
宜蘭縣壯圍鄉,160,223,24335,6.57,9.16
宜蘭縣大同鄉,81,71,6149,13.17,11.55
宜蘭縣宜蘭市,592,730,95727,6.18,7.63
宜蘭縣礁溪鄉,286,373,35460,8.07,10.52
宜蘭縣羅東鎮,395,508,72340,5.46,7.02
宜蘭縣蘇澳鎮,222,440,39353,5.64,11.18
宜蘭縣頭城鎮,224,276,29050,7.71,9.5
屏東縣,4764,8393,821834,5.8,10.21
屏東縣三地門鄉,85,83,7677,11.07,10.81
屏東縣九如鄉,145,221,21998,6.59,10.05
屏東縣佳冬鄉,121,253,18941,6.39,13.36
屏東縣來義鄉,93,83,7428,12.52,11.17
屏東縣內埔鄉,199,611,53898,3.69,11.34
屏東縣南州鄉,68,128,10554,6.44,12.13
屏東縣屏東市,1140,1742,199358,5.72,8.74
屏東縣崁頂鄉,81,128,15421,5.25,8.3
屏東縣恆春鎮,295,322,30697,9.61,10.49
屏東縣新園鄉,144,351,34649,4.16,10.13
屏東縣新埤鄉,70,121,9791,7.15,12.36
屏東縣春日鄉,47,47,4935,9.52,9.52
屏東縣東港鎮,225,389,47424,4.74,8.2
屏東縣枋寮鄉,124,300,24159,5.13,12.42
屏東縣枋山鄉,20,77,5402,3.7,14.25
屏東縣林邊鄉,102,195,17706,5.76,11.01
屏東縣泰武鄉,68,65,5372,12.66,12.1
屏東縣滿州鄉,48,105,7801,6.15,13.46
屏東縣潮州鎮,206,481,53937,3.82,8.92
屏東縣牡丹鄉,43,64,4918,8.74,13.01
屏東縣獅子鄉,41,55,4928,8.32,11.16
屏東縣琉球鄉,76,117,12241,6.21,9.56
屏東縣瑪家鄉,65,89,6763,9.61,13.16
屏東縣竹田鄉,82,188,16990,4.83,11.07
屏東縣萬丹鄉,309,424,50497,6.12,8.4
屏東縣萬巒鄉,142,229,20524,6.92,11.16
屏東縣車城鄉,42,133,8480,4.95,15.68
屏東縣里港鄉,223,280,25925,8.6,10.8
屏東縣長治鄉,115,309,29532,3.89,10.46
屏東縣霧臺鄉,28,32,3298,8.49,9.7
屏東縣高樹鄉,121,349,24132,5.01,14.46
屏東縣鹽埔鄉,155,309,25479,6.08,12.13
屏東縣麟洛鄉,41,113,10979,3.73,10.29
彰化縣,12408,10576,1274724,9.73,8.3
彰化縣二林鎮,454,542,50295,9.03,10.78
彰化縣二水鄉,102,184,14983,6.81,12.28
彰化縣伸港鄉,412,255,37237,11.06,6.85
彰化縣北斗鎮,362,276,33296,10.87,8.29
彰化縣和美鎮,894,601,90682,9.86,6.63
彰化縣員林市,1341,873,124863,10.74,6.99
彰化縣埔心鄉,332,303,34722,9.56,8.73
彰化縣埔鹽鄉,315,283,32319,9.75,8.76
彰化縣埤頭鄉,313,302,30397,10.3,9.94
彰化縣大城鄉,123,239,16532,7.44,14.46
彰化縣大村鄉,416,292,36994,11.25,7.89
彰化縣彰化市,2161,1584,232402,9.3,6.82
彰化縣永靖鄉,351,339,36799,9.54,9.21
彰化縣溪州鄉,264,375,29512,8.95,12.71
彰化縣溪湖鎮,564,448,55319,10.2,8.1
彰化縣田中鎮,372,434,41441,8.98,10.47
彰化縣田尾鄉,233,280,27088,8.6,10.34
彰化縣社頭鄉,398,356,42725,9.32,8.33
彰化縣福興鄉,437,351,46869,9.32,7.49
彰化縣秀水鄉,383,293,39171,9.78,7.48
彰化縣竹塘鄉,143,171,14999,9.53,11.4
彰化縣線西鄉,156,139,16832,9.27,8.26
彰化縣芬園鄉,256,254,23400,10.94,10.85
彰化縣花壇鄉,453,351,45681,9.92,7.68
彰化縣芳苑鄉,289,409,33274,8.69,12.29
彰化縣鹿港鎮,884,642,86892,10.17,7.39
新北市,28387,25072,4004598,7.09,6.26
新北市三峽區,953,852,116176,8.2,7.33
新北市三芝區,112,222,22837,4.9,9.72
新北市三重區,2645,2575,385403,6.86,6.68
新北市中和區,2755,2737,412101,6.69,6.64
新北市五股區,663,520,87046,7.62,5.97
新北市八里區,305,251,39008,7.82,6.43
新北市土城區,1843,1258,237048,7.77,5.31
新北市坪林區,33,67,6678,4.94,10.03
新北市平溪區,14,98,4604,3.04,21.29
新北市新店區,1797,2065,302446,5.94,6.83
新北市新莊區,3356,2053,419116,8.01,4.9
新北市板橋區,4031,3327,555688,7.25,5.99
新北市林口區,991,517,112955,8.77,4.58
新北市樹林區,1436,1031,183832,7.81,5.61
新北市永和區,1260,1502,221081,5.7,6.79
新北市汐止區,1364,1316,201658,6.76,6.53
新北市泰山區,597,397,78801,7.58,5.04
新北市淡水區,1147,1055,176068,6.51,5.99
新北市深坑區,151,160,23618,6.39,6.77
新北市烏來區,66,46,6404,10.31,7.18
新北市瑞芳區,266,483,39712,6.7,12.16
新北市石碇區,44,107,7664,5.74,13.96
新北市石門區,71,122,11999,5.92,10.17
新北市萬里區,147,247,21948,6.7,11.25
新北市蘆洲區,1529,988,201647,7.58,4.9
新北市貢寮區,57,168,12150,4.69,13.83
新北市金山區,108,196,21554,5.01,9.09
新北市雙溪區,35,135,8767,3.99,15.4
新北市鶯歌區,611,577,86589,7.06,6.66
新竹市,3918,2789,447359,8.76,6.23
新竹市北區,1241,1083,152018,8.16,7.12
新竹市東區,1909,1203,216986,8.8,5.54
新竹市香山區,768,503,78355,9.8,6.42
新竹縣,4452,3779,559734,7.95,6.75
新竹縣五峰鄉,60,66,4649,12.91,14.2
新竹縣北埔鄉,51,90,9243,5.52,9.74
新竹縣寶山鄉,99,137,14560,6.8,9.41
新竹縣尖石鄉,142,78,9597,14.8,8.13
新竹縣峨眉鄉,45,79,5529,8.14,14.29
新竹縣新埔鎮,219,351,32986,6.64,10.64
新竹縣新豐鄉,349,358,57150,6.11,6.26
新竹縣橫山鄉,70,156,12855,5.45,12.14
新竹縣湖口鄉,454,542,77677,5.84,6.98
新竹縣竹北市,2019,712,190945,10.57,3.73
新竹縣竹東鎮,653,702,96369,6.78,7.28
新竹縣芎林鄉,134,187,19947,6.72,9.37
新竹縣關西鎮,157,321,28227,5.56,11.37
桃園市,22841,13198,2235005,10.22,5.91
桃園市中壢區,4128,2379,414676,9.95,5.74
桃園市八德區,2370,1280,204143,11.61,6.27
桃園市大園區,985,559,92046,10.7,6.07
桃園市大溪區,922,789,95146,9.69,8.29
桃園市平鎮區,2424,1207,227601,10.65,5.3
桃園市復興區,169,138,12119,13.95,11.39
桃園市新屋區,423,452,49196,8.6,9.19
桃園市桃園區,4171,2347,450028,9.27,5.22
桃園市楊梅區,1841,956,171776,10.72,5.57
桃園市蘆竹區,1707,767,165345,10.32,4.64
桃園市觀音區,721,546,67593,10.67,8.08
桃園市龍潭區,1245,853,123566,10.08,6.9
桃園市龜山區,1735,925,161770,10.73,5.72
澎湖縣,988,944,104676,9.44,9.02
澎湖縣七美鄉,38,40,3822,9.94,10.47
澎湖縣望安鄉,56,44,5295,10.58,8.31
澎湖縣湖西鄉,143,157,14804,9.66,10.61
澎湖縣白沙鄉,122,122,9816,12.43,12.43
澎湖縣西嶼鄉,90,109,8306,10.84,13.12
澎湖縣馬公市,539,472,62633,8.61,7.54
臺中市,21602,17717,2810219,7.69,6.3
臺中市中區,92,183,18505,4.97,9.89
臺中市北區,988,1009,147234,6.71,6.85
臺中市北屯區,2216,1574,281376,7.88,5.59
臺中市南區,955,716,126271,7.56,5.67
