區域,年出生數,年死亡數,年中人口(6月底),粗出生率,粗死亡率
南投縣中寮鄉,82,230,14990,5.47,15.34
南投縣仁愛鄉,216,194,15636,13.81,12.41
南投縣信義鄉,165,176,16288,10.13,10.81
南投縣南投市,686,820,100665,6.81,8.15
南投縣名間鄉,221,390,38996,5.67,10
南投縣國姓鄉,118,254,18911,6.24,13.43
南投縣埔里鎮,515,751,81435,6.32,9.22
南投縣水里鄉,103,208,17933,5.74,11.6
南投縣竹山鎮,363,585,55373,6.56,10.56
南投縣草屯鎮,579,731,98180,5.9,7.45
南投縣集集鎮,64,145,10923,5.86,13.27
南投縣魚池鄉,100,192,16057,6.23,11.96
南投縣鹿谷鄉,124,214,17874,6.94,11.97
嘉義市東區,823,902,122294,6.73,7.38
嘉義市西區,1101,1089,147423,7.47,7.39
嘉義縣中埔鄉,253,431,45136,5.61,9.55
嘉義縣六腳鄉,113,375,23520,4.8,15.94
嘉義縣大埔鄉,42,36,4585,9.16,7.85
嘉義縣大林鎮,149,312,31311,4.76,9.96
嘉義縣太保市,234,286,37580,6.23,7.61
嘉義縣布袋鎮,137,343,27305,5.02,12.56
嘉義縣新港鄉,159,355,32221,4.93,11.02
嘉義縣朴子市,242,402,42559,5.69,9.45
嘉義縣東石鄉,154,368,25085,6.14,14.67
嘉義縣梅山鄉,106,240,19640,5.4,12.22
嘉義縣民雄鄉,381,616,71771,5.31,8.58
嘉義縣水上鄉,236,499,49864,4.73,10.01
嘉義縣溪口鄉,74,193,14826,4.99,13.02
嘉義縣番路鄉,69,128,11666,5.91,10.97
嘉義縣竹崎鄉,262,404,36080,7.26,11.2
嘉義縣義竹鄉,75,275,18635,4.02,14.76
嘉義縣阿里山鄉,52,73,5634,9.23,12.96
嘉義縣鹿草鄉,65,205,15664,4.15,13.09
基隆市七堵區,324,359,54051,5.99,6.64
基隆市中山區,284,425,47974,5.92,8.86
基隆市中正區,346,442,52376,6.61,8.44
基隆市仁愛區,215,436,44734,4.81,9.75
基隆市信義區,310,391,51887,5.97,7.54
基隆市安樂區,513,584,82245,6.24,7.1
基隆市暖暖區,256,277,38609,6.63,7.17
宜蘭縣三星鄉,107,232,21408,5,10.84
宜蘭縣五結鄉,245,358,39674,6.18,9.02
宜蘭縣冬山鄉,351,448,53353,6.58,8.4
宜蘭縣南澳鄉,82,69,5853,14.01,11.79
宜蘭縣員山鄉,203,306,32401,6.27,9.44
宜蘭縣壯圍鄉,154,227,24237,6.35,9.37
宜蘭縣大同鄉,94,64,6065,15.5,10.55
