區域,年出生數,年死亡數,年中人口(6月底),粗出生率,粗死亡率
南投縣中寮鄉,79,234,15224,5.19,15.37
南投縣仁愛鄉,198,183,15658,12.65,11.69
南投縣信義鄉,201,190,16452,12.22,11.55
南投縣南投市,736,796,101402,7.26,7.85
南投縣名間鄉,257,408,39328,6.53,10.37
南投縣國姓鄉,115,264,19195,5.99,13.75
南投縣埔里鎮,584,805,81939,7.13,9.82
南投縣水里鄉,102,219,18139,5.62,12.07
南投縣竹山鎮,409,556,55780,7.33,9.97
南投縣草屯鎮,642,707,98656,6.51,7.17
南投縣集集鎮,89,140,11103,8.02,12.61
南投縣魚池鄉,100,197,16259,6.15,12.12
南投縣鹿谷鄉,118,252,18075,6.53,13.94
嘉義市東區,923,933,122751,7.52,7.6
嘉義市西區,1288,1132,147503,8.73,7.67
嘉義縣中埔鄉,273,450,45496,6,9.89
嘉義縣六腳鄉,107,361,23978,4.46,15.06
嘉義縣大埔鄉,48,41,4599,10.44,8.91
嘉義縣大林鎮,165,368,31572,5.23,11.66
嘉義縣太保市,217,303,37323,5.81,8.12
嘉義縣布袋鎮,152,336,27662,5.49,12.15
嘉義縣新港鄉,174,362,32644,5.33,11.09
嘉義縣朴子市,239,490,42811,5.58,11.45
嘉義縣東石鄉,133,372,25498,5.22,14.59
嘉義縣梅山鄉,104,213,19879,5.23,10.71
嘉義縣民雄鄉,455,578,71907,6.33,8.04
嘉義縣水上鄉,249,520,50132,4.97,10.37
嘉義縣溪口鄉,85,195,15020,5.66,12.98
嘉義縣番路鄉,60,147,11758,5.1,12.5
嘉義縣竹崎鄉,234,376,36398,6.43,10.33
嘉義縣義竹鄉,97,308,19030,5.1,16.18
嘉義縣阿里山鄉,55,76,5669,9.7,13.41
嘉義縣鹿草鄉,76,238,15963,4.76,14.91
基隆市七堵區,411,406,54085,7.6,7.51
基隆市中山區,329,421,48204,6.83,8.73
基隆市中正區,388,456,52555,7.38,8.68
基隆市仁愛區,235,432,45473,5.17,9.5
基隆市信義區,348,394,51694,6.73,7.62
基隆市安樂區,554,531,81390,6.81,6.52
基隆市暖暖區,283,300,38436,7.36,7.81
宜蘭縣三星鄉,107,214,21421,5,9.99
宜蘭縣五結鄉,271,361,39624,6.84,9.11
宜蘭縣冬山鄉,343,452,53408,6.42,8.46
宜蘭縣南澳鄉,89,50,5940,14.98,8.42
宜蘭縣員山鄉,226,290,32250,7.01,8.99
宜蘭縣壯圍鄉,169,244,24266,6.96,10.06
宜蘭縣大同鄉,89,60,6059,14.69,9.9
宜蘭縣宜蘭市,746,658,96077,7.76,6.85
宜蘭縣礁溪鄉,325,297,35846,9.07,8.29
宜蘭縣羅東鎮,595,501,72560,8.2,6.9
宜蘭縣蘇澳鎮,320,387,40581,7.89,9.54
宜蘭縣頭城鎮,245,273,29776,8.23,9.17
屏東縣三地門鄉,75,92,7683,9.76,11.97
屏東縣九如鄉,132,216,22084,5.98,9.78
屏東縣佳冬鄉,85,243,19776,4.3,12.29
屏東縣來義鄉,82,78,7530,10.89,10.36
屏東縣內埔鄉,266,624,55422,4.8,11.26
屏東縣南州鄉,62,122,10845,5.72,11.25
屏東縣屏東市,1084,1748,202307,5.36,8.64
屏東縣崁頂鄉,89,171,15988,5.57,10.7
屏東縣恆春鎮,292,345,30778,9.49,11.21
屏東縣新園鄉,193,369,35904,5.38,10.28
屏東縣新埤鄉,48,156,9979,4.81,15.63
屏東縣春日鄉,50,66,4804,10.41,13.74
屏東縣東港鎮,322,381,48241,6.67,7.9
