區域,年出生數,年中人口(6月底),出生率
南投縣中寮鄉,95,15459,6.15
南投縣仁愛鄉,220,15666,14.04
南投縣信義鄉,187,16585,11.28
南投縣南投市,717,102178,7.02
南投縣名間鄉,248,39801,6.23
南投縣國姓鄉,109,19524,5.58
南投縣埔里鎮,525,82687,6.35
南投縣水里鄉,113,18493,6.11
南投縣竹山鎮,351,56228,6.24
南投縣草屯鎮,692,98875,7
南投縣集集鎮,74,11301,6.55
南投縣魚池鄉,117,16370,7.15
南投縣鹿谷鄉,128,18351,6.98
嘉義市東區,944,123329,7.65
嘉義市西區,1280,147567,8.67
嘉義縣中埔鄉,307,45844,6.7
嘉義縣六腳鄉,123,24334,5.05
嘉義縣大埔鄉,48,4608,10.42
嘉義縣大林鎮,160,31917,5.01
嘉義縣太保市,261,37036,7.05
嘉義縣布袋鎮,141,28079,5.02
嘉義縣新港鄉,164,32990,4.97
嘉義縣朴子市,272,43175,6.3
嘉義縣東石鄉,158,25851,6.11
嘉義縣梅山鄉,116,20138,5.76
嘉義縣民雄鄉,411,71904,5.72
嘉義縣水上鄉,302,50541,5.98
嘉義縣溪口鄉,80,15209,5.26
嘉義縣番路鄉,60,11942,5.02
嘉義縣竹崎鄉,236,36735,6.42
嘉義縣義竹鄉,95,19367,4.91
嘉義縣阿里山鄉,56,5725,9.78
嘉義縣鹿草鄉,64,16196,3.95
基隆市七堵區,368,54074,6.81
基隆市中山區,318,48441,6.56
基隆市中正區,331,52859,6.26
基隆市仁愛區,253,46106,5.49
基隆市信義區,366,51346,7.13
基隆市安樂區,553,81589,6.78
基隆市暖暖區,250,38372,6.52
宜蘭縣三星鄉,118,21430,5.51
宜蘭縣五結鄉,276,39402,7
宜蘭縣冬山鄉,345,53512,6.45
宜蘭縣南澳鄉,117,6075,19.26
宜蘭縣員山鄉,209,32263,6.48
宜蘭縣壯圍鄉,158,24316,6.5
宜蘭縣大同鄉,85,6097,13.94
宜蘭縣宜蘭市,732,95973,7.63
宜蘭縣礁溪鄉,301,35861,8.39
宜蘭縣羅東鎮,559,72676,7.69
宜蘭縣蘇澳鎮,287,40851,7.03
宜蘭縣頭城鎮,250,29857,8.37
屏東縣三地門鄉,78,7725,10.1
屏東縣九如鄉,140,22115,6.33
屏東縣佳冬鄉,92,20099,4.58
屏東縣來義鄉,76,7551,10.06
屏東縣內埔鄉,271,55938,4.84
屏東縣南州鄉,62,10935,5.67
屏東縣屏東市,1072,203220,5.28
屏東縣崁頂鄉,89,16234,5.48
屏東縣恆春鎮,276,30852,8.95
屏東縣新園鄉,216,36397,5.93
屏東縣新埤鄉,59,10090,5.85
屏東縣春日鄉,59,4822,12.24
屏東縣東港鎮,331,48118,6.88
屏東縣枋寮鄉,141,25342,5.56
屏東縣枋山鄉,30,5672,5.29
屏東縣林邊鄉,105,19057,5.51
屏東縣泰武鄉,73,5244,13.92
屏東縣滿州鄉,56,8068,6.94
屏東縣潮州鎮,292,54761,5.33
屏東縣牡丹鄉,36,4802,7.5
屏東縣獅子鄉,51,4830,10.56
屏東縣琉球鄉,86,12533,6.86
屏東縣瑪家鄉,79,6677,11.83
屏東縣竹田鄉,91,17607,5.17
屏東縣萬丹鄉,293,51864,5.65
屏東縣萬巒鄉,136,20812,6.53
屏東縣車城鄉,55,9002,6.11
屏東縣里港鄉,344,26942,12.77
屏東縣長治鄉,207,30346,6.82
屏東縣霧臺鄉,23,3366,6.83
屏東縣高樹鄉,121,25267,4.79
屏東縣鹽埔鄉,172,26466,6.5
屏東縣麟洛鄉,54,11227,4.81
彰化縣二林鎮,467,52038,8.97
彰化縣二水鄉,129,15715,8.21
彰化縣伸港鄉,434,36221,11.98
彰化縣北斗鎮,350,33208,10.54
彰化縣和美鎮,1069,90931,11.76
彰化縣員林市,663,0,0
彰化縣員林鎮,598,124653,4.8
彰化縣埔心鄉,360,34899,10.32
彰化縣埔鹽鄉,349,33045,10.56
彰化縣埤頭鄉,339,30928,10.96
彰化縣大城鄉,138,17610,7.84
彰化縣大村鄉,389,36412,10.68
彰化縣彰化市,2501,234947,10.64
彰化縣永靖鄉,360,38128,9.44
彰化縣溪州鄉,289,30590,9.45
彰化縣溪湖鎮,621,55735,11.14
彰化縣田中鎮,379,42569,8.9
彰化縣田尾鄉,243,27649,8.79
彰化縣社頭鄉,402,43557,9.23
彰化縣福興鄉,527,47669,11.06
彰化縣秀水鄉,392,39352,9.96
彰化縣竹塘鄉,134,15739,8.51
彰化縣線西鄉,164,17065,9.61
彰化縣芬園鄉,241,24011,10.04
彰化縣花壇鄉,553,45867,12.06
彰化縣芳苑鄉,314,34461,9.11
彰化縣鹿港鎮,909,86275,10.54
新北市三峽區,1126,112059,10.05
新北市三芝區,174,23469,7.41
新北市三重區,3414,388502,8.79
新北市中和區,3786,414528,9.13
新北市五股區,785,82437,9.52
新北市八里區,337,37288,9.04
新北市土城區,2275,238790,9.53
新北市坪林區,41,6483,6.32
新北市平溪區,25,4900,5.1
新北市新店區,2290,299656,7.64
新北市新莊區,4137,412363,10.03
新北市板橋區,5323,555138,9.59
新北市林口區,1217,98978,12.3
新北市樹林區,1904,184028,10.35
新北市永和區,1717,226715,7.57
新北市汐止區,1594,195374,8.16
新北市泰山區,824,78484,10.5
新北市淡水區,1423,160444,8.87
新北市深坑區,163,23561,6.92
新北市烏來區,83,6128,13.54
新北市瑞芳區,330,41024,8.04
新北市石碇區,53,7824,6.77
新北市石門區,105,12652,8.3
新北市萬里區,205,22600,9.07
新北市蘆洲區,1804,199739,9.03
新北市貢寮區,78,12913,6.04
新北市金山區,165,22260,7.41
新北市雙溪區,70,9319,7.51
新北市鶯歌區,865,88396,9.79
新竹市北區,1648,148838,11.07
新竹市東區,2359,207671,11.36
新竹市香山區,969,76351,12.69
新竹縣五峰鄉,59,4613,12.79
新竹縣北埔鄉,78,9721,8.02
新竹縣寶山鄉,109,14308,7.62
新竹縣尖石鄉,147,9331,15.75
新竹縣峨眉鄉,46,5681,8.1
新竹縣新埔鎮,311,34183,9.1
新竹縣新豐鄉,479,55987,8.56
新竹縣橫山鄉,100,13629,7.34
新竹縣湖口鄉,708,77070,9.19
新竹縣竹北市,2404,168072,14.3
新竹縣竹東鎮,801,96040,8.34
新竹縣芎林鄉,182,20294,8.97
新竹縣關西鎮,160,30244,5.29
桃園市中壢區,4129,386679,10.68
桃園市八德區,2090,184493,11.33
桃園市大園區,916,85105,10.76
桃園市大溪區,909,92845,9.79
桃園市平鎮區,2376,215617,11.02
桃園市復興區,169,10946,15.44
桃園市新屋區,404,48296,8.37
桃園市桃園區,4264,423658,10.06
桃園市楊梅區,1718,159382,10.78
桃園市蘆竹區,1816,153583,11.82
桃園市觀音區,674,64127,10.51
桃園市龍潭區,1157,117491,9.85
桃園市龜山區,1762,143859,12.25
澎湖縣七美鄉,49,3774,12.98
澎湖縣望安鄉,40,5112,7.82
澎湖縣湖西鄉,133,14333,9.28
澎湖縣白沙鄉,114,9735,11.71
澎湖縣西嶼鄉,75,8409,8.92
澎湖縣馬公市,481,60390,7.96
臺中市中區,111,19231,5.77
臺中市北區,1232,147446,8.36
臺中市北屯區,2585,262204,9.86
臺中市南區,1241,120919,10.26
臺中市南屯區,1619,163250,9.92
臺中市后里區,520,54186,9.6
臺中市和平區,97,10720,9.05
臺中市外埔區,312,31746,9.83
臺中市大安區,165,19572,8.43
臺中市大甲區,660,77640,8.5
臺中市大肚區,509,56428,9.02
臺中市大里區,2097,207339,10.11
臺中市大雅區,951,93226,10.2
臺中市太平區,1931,182783,10.56
臺中市新社區,192,25153,7.63
臺中市東勢區,414,51313,8.07
臺中市東區,736,75044,9.81
臺中市梧棲區,576,56906,10.12
臺中市沙鹿區,1127,88715,12.7
臺中市清水區,765,85971,8.9
臺中市潭子區,976,105819,9.22
臺中市烏日區,762,72018,10.58
