區域,年出生數,年死亡數,年中人口(6月底),粗出生率,粗死亡率
全國,181601,172784,23574274,7.7,7.33
南投縣,3232,4838,499194,6.47,9.69
南投縣中寮鄉,78,213,14792,5.27,14.4
南投縣仁愛鄉,226,166,15891,14.22,10.45
南投縣信義鄉,189,189,16254,11.63,11.63
南投縣南投市,601,778,99781,6.02,7.8
南投縣名間鄉,243,424,38484,6.31,11.02
南投縣國姓鄉,103,248,18745,5.49,13.23
南投縣埔里鎮,485,767,80688,6.01,9.51
南投縣水里鄉,89,253,17663,5.04,14.32
南投縣竹山鎮,355,567,54880,6.47,10.33
南投縣草屯鎮,609,709,97477,6.25,7.27
南投縣集集鎮,64,142,10910,5.87,13.02
南投縣魚池鄉,90,204,15868,5.67,12.86
南投縣鹿谷鄉,100,178,17761,5.63,10.02
嘉義市,1886,2102,268951,7.01,7.82
嘉義市東區,807,986,121689,6.63,8.1
嘉義市西區,1079,1116,147262,7.33,7.58
嘉義縣,2559,5537,509161,5.03,10.87
嘉義縣中埔鄉,239,446,44721,5.34,9.97
嘉義縣六腳鄉,86,354,23169,3.71,15.28
嘉義縣大埔鄉,41,35,4571,8.97,7.66
嘉義縣大林鎮,154,354,31001,4.97,11.42
嘉義縣太保市,236,300,37963,6.22,7.9
嘉義縣布袋鎮,126,352,26982,4.67,13.05
嘉義縣新港鄉,153,311,31842,4.8,9.77
嘉義縣朴子市,210,421,42252,4.97,9.96
嘉義縣東石鄉,120,376,24793,4.84,15.17
嘉義縣梅山鄉,92,226,19383,4.75,11.66
嘉義縣民雄鄉,318,605,71463,4.45,8.47
嘉義縣水上鄉,240,480,49520,4.85,9.69
嘉義縣溪口鄉,55,182,14707,3.74,12.38
嘉義縣番路鄉,49,144,11523,4.25,12.5
嘉義縣竹崎鄉,254,403,35781,7.1,11.26
嘉義縣義竹鄉,74,254,18377,4.03,13.82
嘉義縣阿里山鄉,37,66,5598,6.61,11.79
嘉義縣鹿草鄉,75,228,15515,4.83,14.7
基隆市,2180,3031,370795,5.88,8.17
基隆市七堵區,333,413,53909,6.18,7.66
基隆市中山區,296,423,47628,6.21,8.88
基隆市中正區,317,467,51834,6.12,9.01
基隆市仁愛區,191,447,44194,4.32,10.11
基隆市信義區,335,392,52205,6.42,7.51
基隆市安樂區,468,573,82394,5.68,6.95
基隆市暖暖區,240,316,38631,6.21,8.18
宜蘭縣,3055,3903,456006,6.7,8.56
宜蘭縣三星鄉,111,241,21437,5.18,11.24
宜蘭縣五結鄉,236,345,39591,5.96,8.71
宜蘭縣冬山鄉,393,431,52943,7.42,8.14
宜蘭縣南澳鄉,97,61,6022,16.11,10.13
宜蘭縣員山鄉,177,331,32297,5.48,10.25
宜蘭縣壯圍鄉,124,236,24283,5.11,9.72
宜蘭縣大同鄉,86,67,6224,13.82,10.76
宜蘭縣宜蘭市,586,671,95938,6.11,6.99
宜蘭縣礁溪鄉,269,297,35630,7.55,8.34
宜蘭縣羅東鎮,494,524,72490,6.81,7.23
宜蘭縣蘇澳鎮,283,395,39944,7.08,9.89
宜蘭縣頭城鎮,199,304,29207,6.81,10.41
屏東縣,4599,8245,828275,5.55,9.95
屏東縣三地門鄉,69,93,7673,8.99,12.12
屏東縣九如鄉,136,209,22133,6.14,9.44
屏東縣佳冬鄉,66,244,19228,3.43,12.69
屏東縣來義鄉,72,85,7428,9.69,11.44
屏東縣內埔鄉,207,573,54382,3.81,10.54
屏東縣南州鄉,58,113,10645,5.45,10.62
屏東縣屏東市,1091,1636,200124,5.45,8.17
屏東縣崁頂鄉,83,146,15556,5.34,9.39
屏東縣恆春鎮,316,316,30780,10.27,10.27
屏東縣新園鄉,154,359,35068,4.39,10.24
屏東縣新埤鄉,57,122,10090,5.65,12.09
屏東縣春日鄉,59,57,4894,12.06,11.65
屏東縣東港鎮,255,375,47800,5.33,7.85
屏東縣枋寮鄉,133,281,24486,5.43,11.48
屏東縣枋山鄉,23,83,5520,4.17,15.04
屏東縣林邊鄉,117,181,17908,6.53,10.11
屏東縣泰武鄉,65,51,5389,12.06,9.46
屏東縣滿州鄉,35,117,8013,4.37,14.6
屏東縣潮州鎮,219,448,54024,4.05,8.29
屏東縣牡丹鄉,35,73,4997,7,14.61
屏東縣獅子鄉,44,70,4960,8.87,14.11
屏東縣琉球鄉,69,109,12372,5.58,8.81
屏東縣瑪家鄉,62,72,6798,9.12,10.59
屏東縣竹田鄉,61,207,17181,3.55,12.05
屏東縣萬丹鄉,277,456,50739,5.46,8.99
屏東縣萬巒鄉,158,258,20580,7.68,12.54
屏東縣車城鄉,31,144,8681,3.57,16.59
屏東縣里港鄉,226,270,26280,8.6,10.27
屏東縣長治鄉,110,299,29806,3.69,10.03
屏東縣霧臺鄉,25,46,3346,7.47,13.75
屏東縣高樹鄉,98,349,24487,4,14.25
屏東縣鹽埔鄉,146,269,25817,5.66,10.42
屏東縣麟洛鄉,42,134,11090,3.79,12.08
彰化縣,12527,10511,1279276,9.79,8.22
彰化縣二林鎮,473,527,50806,9.31,10.37
彰化縣二水鄉,129,202,15236,8.47,13.26
彰化縣伸港鄉,394,271,36994,10.65,7.33
彰化縣北斗鎮,386,252,33278,11.6,7.57
彰化縣和美鎮,933,577,90776,10.28,6.36
彰化縣員林市,1235,861,124618,9.91,6.91
彰化縣埔心鄉,302,306,34734,8.69,8.81
彰化縣埔鹽鄉,323,334,32544,9.93,10.26
彰化縣埤頭鄉,315,327,30578,10.3,10.69
彰化縣大城鄉,105,244,16862,6.23,14.47
彰化縣大村鄉,434,264,36850,11.78,7.16
彰化縣彰化市,2211,1595,232861,9.49,6.85
彰化縣永靖鄉,312,341,37158,8.4,9.18
彰化縣溪州鄉,278,346,29873,9.31,11.58
彰化縣溪湖鎮,520,415,55515,9.37,7.48
彰化縣田中鎮,356,437,41739,8.53,10.47
彰化縣田尾鄉,256,293,27469,9.32,10.67
彰化縣社頭鄉,476,369,43006,11.07,8.58
彰化縣福興鄉,434,352,47197,9.2,7.46
彰化縣秀水鄉,392,276,39242,9.99,7.03
彰化縣竹塘鄉,129,195,15207,8.48,12.82
彰化縣線西鄉,180,140,16910,10.64,8.28
彰化縣芬園鄉,262,273,23626,11.09,11.56
彰化縣花壇鄉,473,340,45867,10.31,7.41
彰化縣芳苑鄉,305,375,33594,9.08,11.16
彰化縣鹿港鎮,914,599,86736,10.54,6.91
新北市,28927,23929,3987520,7.25,6
新北市三峽區,998,790,115530,8.64,6.84
新北市三芝區,130,210,23084,5.63,9.1
新北市三重區,2788,2471,386144,7.22,6.4
新北市中和區,2869,2542,412754,6.95,6.16
新北市五股區,664,488,85559,7.76,5.7
新北市八里區,306,267,38610,7.93,6.92
新北市土城區,1834,1247,237316,7.73,5.25
新北市坪林區,33,74,6539,5.05,11.32
新北市平溪區,19,84,4707,4.04,17.85
新北市新店區,1853,2033,301880,6.14,6.73
新北市新莊區,3371,1959,417185,8.08,4.7
新北市板橋區,4089,3182,552451,7.4,5.76
新北市林口區,916,465,107734,8.5,4.32
新北市樹林區,1511,970,183622,8.23,5.28
新北市永和區,1294,1401,222001,5.83,6.31
新北市汐止區,1336,1252,199638,6.69,6.27
新北市泰山區,605,393,78812,7.68,4.99
新北市淡水區,1170,1039,171339,6.83,6.06
新北市深坑區,131,158,23663,5.54,6.68
新北市烏來區,60,41,6338,9.47,6.47
新北市瑞芳區,261,430,40151,6.5,10.71
新北市石碇區,46,80,7690,5.98,10.4
新北市石門區,72,95,12176,5.91,7.8
新北市萬里區,157,230,22151,7.09,10.38
新北市蘆洲區,1556,1005,201021,7.74,5
新北市貢寮區,59,157,12413,4.75,12.65
新北市金山區,140,168,21851,6.41,7.69
新北市雙溪區,34,126,8889,3.82,14.17
新北市鶯歌區,625,572,86272,7.24,6.63
新竹市,4019,2642,443351,9.07,5.96
新竹市北區,1294,998,150881,8.58,6.61
新竹市東區,1939,1180,214339,9.05,5.51
新竹市香山區,786,464,78131,10.06,5.94
新竹縣,4449,3727,554541,8.02,6.72
新竹縣五峰鄉,53,57,4779,11.09,11.93
新竹縣北埔鄉,55,104,9365,5.87,11.11
新竹縣寶山鄉,110,121,14678,7.49,8.24
新竹縣尖石鄉,125,102,9638,12.97,10.58
新竹縣峨眉鄉,42,78,5608,7.49,13.91
新竹縣新埔鎮,286,317,33211,8.61,9.55
新竹縣新豐鄉,365,343,56764,6.43,6.04
新竹縣橫山鄉,78,173,13010,6,13.3
新竹縣湖口鄉,499,507,77584,6.43,6.53
新竹縣竹北市,1909,688,184586,10.34,3.73
新竹縣竹東鎮,678,711,96458,7.03,7.37
新竹縣芎林鄉,120,184,20072,5.98,9.17
新竹縣關西鎮,129,342,28788,4.48,11.88
桃園市,22583,12838,2204824,10.24,5.82
桃園市中壢區,4271,2293,408883,10.45,5.61
桃園市八德區,2191,1263,200114,10.95,6.31
桃園市大園區,968,563,89845,10.77,6.27
桃園市大溪區,943,696,94741,9.95,7.35
桃園市平鎮區,2327,1282,225230,10.33,5.69
桃園市復興區,160,127,11923,13.42,10.65
桃園市新屋區,420,453,49162,8.54,9.21
桃園市桃園區,4155,2235,444078,9.36,5.03
桃園市楊梅區,1812,996,169059,10.72,5.89
桃園市蘆竹區,1678,769,163232,10.28,4.71
桃園市觀音區,691,464,66821,10.34,6.94
桃園市龍潭區,1185,758,122649,9.66,6.18
桃園市龜山區,1782,939,159087,11.2,5.9
澎湖縣,881,909,104013,8.47,8.74
澎湖縣七美鄉,45,45,3866,11.64,11.64
澎湖縣望安鄉,46,52,5236,8.79,9.93
澎湖縣湖西鄉,137,151,14474,9.47,10.43
澎湖縣白沙鄉,107,104,9835,10.88,10.57
澎湖縣西嶼鄉,81,100,8417,9.62,11.88
澎湖縣馬公市,465,457,62185,7.48,7.35
臺中市,22646,17090,2794933,8.1,6.11
臺中市中區,110,172,18562,5.93,9.27
