區域,年出生數,年中人口(6月底),出生率
南投縣中寮鄉,68,14460,4.7
南投縣仁愛鄉,168,15824,10.62
南投縣信義鄉,142,15899,8.93
南投縣南投市,614,99263,6.19
南投縣名間鄉,195,37728,5.17
南投縣國姓鄉,98,18056,5.43
南投縣埔里鎮,461,79556,5.79
南投縣水里鄉,80,17177,4.66
南投縣竹山鎮,301,53684,5.61
南投縣草屯鎮,752,97659,7.7
南投縣集集鎮,51,10554,4.83
南投縣魚池鄉,106,15544,6.82
南投縣鹿谷鄉,106,17329,6.12
嘉義市東區,606,120299,5.04
嘉義市西區,820,146735,5.59
嘉義縣中埔鄉,305,44229,6.9
嘉義縣六腳鄉,102,22374,4.56
嘉義縣大埔鄉,34,4581,7.42
嘉義縣大林鎮,145,30563,4.74
嘉義縣太保市,314,38408,8.18
嘉義縣布袋鎮,134,26180,5.12
嘉義縣新港鄉,185,31324,5.91
嘉義縣朴子市,250,41778,5.98
嘉義縣東石鄉,114,23937,4.76
嘉義縣梅山鄉,85,18809,4.52
嘉義縣民雄鄉,398,71305,5.58
嘉義縣水上鄉,273,49076,5.56
嘉義縣溪口鄉,69,14191,4.86
嘉義縣番路鄉,49,11185,4.38
嘉義縣竹崎鄉,225,34977,6.43
嘉義縣義竹鄉,104,17744,5.86
嘉義縣阿里山鄉,52,5543,9.38
嘉義縣鹿草鄉,84,15008,5.6
基隆市七堵區,279,53688,5.2
基隆市中山區,266,46665,5.7
基隆市中正區,296,51341,5.77
基隆市仁愛區,210,43105,4.87
基隆市信義區,313,52918,5.91
基隆市安樂區,427,82211,5.19
基隆市暖暖區,216,38600,5.6
宜蘭縣三星鄉,89,21243,4.19
宜蘭縣五結鄉,386,40133,9.62
宜蘭縣冬山鄉,382,53229,7.18
宜蘭縣南澳鄉,83,5893,14.08
宜蘭縣員山鄉,188,32275,5.82
宜蘭縣壯圍鄉,123,24357,5.05
宜蘭縣大同鄉,82,6110,13.42
宜蘭縣宜蘭市,542,95595,5.67
宜蘭縣礁溪鄉,228,35356,6.45
宜蘭縣羅東鎮,348,71740,4.85
宜蘭縣蘇澳鎮,213,39038,5.46
宜蘭縣頭城鎮,190,28922,6.57
屏東縣三地門鄉,83,7656,10.84
屏東縣九如鄉,129,22011,5.86
屏東縣佳冬鄉,119,18714,6.36
屏東縣來義鄉,88,7436,11.83
屏東縣內埔鄉,168,53403,3.15
屏東縣南州鄉,41,10420,3.93
屏東縣屏東市,1035,198499,5.21
屏東縣崁頂鄉,68,15278,4.45
屏東縣恆春鎮,270,30507,8.85
屏東縣新園鄉,144,34176,4.21
屏東縣新埤鄉,49,9660,5.07
屏東縣春日鄉,57,4930,11.56
屏東縣東港鎮,199,46944,4.24
屏東縣枋寮鄉,110,23853,4.61
屏東縣枋山鄉,23,5259,4.37
屏東縣林邊鄉,85,17426,4.88
屏東縣泰武鄉,39,5377,7.25
屏東縣滿州鄉,22,7548,2.91
屏東縣潮州鎮,281,53951,5.21
屏東縣牡丹鄉,34,4852,7.01
屏東縣獅子鄉,40,4871,8.21
屏東縣琉球鄉,75,12135,6.18
屏東縣瑪家鄉,68,6730,10.1
屏東縣竹田鄉,66,16728,3.95
屏東縣萬丹鄉,264,50335,5.24
屏東縣萬巒鄉,149,20294,7.34
屏東縣車城鄉,35,8337,4.2
屏東縣里港鄉,207,25727,8.05
屏東縣長治鄉,122,29543,4.13
屏東縣霧臺鄉,27,3272,8.25
屏東縣高樹鄉,156,23886,6.53
屏東縣鹽埔鄉,136,25174,5.4
屏東縣麟洛鄉,52,10857,4.79
彰化縣二林鎮,423,49831,8.49
彰化縣二水鄉,122,14723,8.29
彰化縣伸港鄉,458,37587,12.19
彰化縣北斗鎮,347,33346,10.41
彰化縣和美鎮,867,90235,9.61
彰化縣員林市,1221,125180,9.75
彰化縣埔心鄉,280,34586,8.1
彰化縣埔鹽鄉,306,32045,9.55
彰化縣埤頭鄉,315,30229,10.42
彰化縣大城鄉,119,16233,7.33
彰化縣大村鄉,371,37122,9.99
彰化縣彰化市,2176,232035,9.38
彰化縣永靖鄉,340,36478,9.32
彰化縣溪州鄉,264,29204,9.04
彰化縣溪湖鎮,558,55054,10.14
彰化縣田中鎮,371,41012,9.05
彰化縣田尾鄉,254,26851,9.46
彰化縣社頭鄉,415,42538,9.76
彰化縣福興鄉,451,46593,9.68
彰化縣秀水鄉,371,39029,9.51
彰化縣竹塘鄉,119,14845,8.02
彰化縣線西鄉,161,16697,9.64
彰化縣芬園鄉,239,23290,10.26
彰化縣花壇鄉,435,45401,9.58
彰化縣芳苑鄉,302,32949,9.17
彰化縣鹿港鎮,811,86698,9.35
新北市三峽區,804,116898,6.88
新北市三芝區,124,22693,5.46
新北市三重區,2467,385701,6.4
新北市中和區,2457,412439,5.96
