區域,2015,2016,2017,2018,2019,2020
新北市樹林區,10.35,9.81,8.88,8.23,7.81,7.09
新北市永和區,7.57,7.14,6.6,5.83,5.7,4.91
新北市汐止區,8.16,8.31,7.03,6.69,6.76,5.91
新北市泰山區,10.5,9.9,8.61,7.68,7.58,7.02
新北市淡水區,8.87,8.03,7.45,6.83,6.51,6.41
新北市深坑區,6.92,7.41,6.67,5.54,6.39,5.22
新北市烏來區,13.54,12.32,12.39,9.47,10.31,12.44
新北市瑞芳區,8.04,7.12,7.48,6.5,6.7,6.09
新北市石碇區,6.77,5.02,4.42,5.98,5.74,5.02
新北市石門區,8.3,6.93,7.44,5.91,5.92,4.74
新北市萬里區,9.07,8.33,6.31,7.09,6.7,6.12
新北市蘆洲區,9.03,9.11,8.24,7.74,7.58,7.08
新北市貢寮區,6.04,6.8,5.73,4.75,4.69,3.87
新北市金山區,7.41,8.46,7.03,6.41,5.01,5.79
新北市雙溪區,7.51,6.88,4.33,3.82,3.99,3.51
新北市鶯歌區,9.79,8.92,8.05,7.24,7.06,6.62
新竹市,11.5,10.56,9.76,9.07,8.76,7.96
新竹市北區,11.07,9.81,9.62,8.58,8.16,7.57
新竹市東區,11.36,10.5,9.32,9.05,8.8,8
新竹市香山區,12.69,12.18,11.22,10.06,9.8,8.63
新竹縣,10.36,10.2,9.01,8.02,7.95,7.6
新竹縣五峰鄉,12.79,10.54,14.56,11.09,12.91,11.13
新竹縣北埔鄉,8.02,5.31,5.91,5.87,5.52,6.28
新竹縣寶山鄉,7.62,8.54,5.81,7.49,6.8,7.27
新竹縣尖石鄉,15.75,16.45,16.17,12.97,14.8,12.84
新竹縣峨眉鄉,8.1,7.65,7.18,7.49,8.14,4.95
新竹縣新埔鎮,9.1,9.3,8.07,8.61,6.64,6.02
新竹縣新豐鄉,8.56,9.31,7.8,6.43,6.11,5.85
新竹縣橫山鄉,7.34,7,5,6,5.45,4.74
新竹縣湖口鄉,9.19,9.02,7.22,6.43,5.84,6.98
新竹縣竹北市,14.3,13.43,11.91,10.34,10.57,9.31
新竹縣竹東鎮,8.34,8.48,8.16,7.03,6.78,6.33
新竹縣芎林鄉,8.97,8.53,7.63,5.98,6.72,7.38
新竹縣關西鎮,5.29,6.17,4.8,4.48,5.56,7.31
桃園市,10.73,11.2,10.77,10.24,10.22,9.5
桃園市中壢區,10.68,11.17,10.78,10.45,9.95,9.45
桃園市八德區,11.33,11.83,11.68,10.95,11.61,10.1
桃園市大園區,10.76,10.82,10.93,10.77,10.7,10.31
桃園市大溪區,9.79,10.39,10.53,9.95,9.69,9.27
桃園市平鎮區,11.02,11.47,11.36,10.33,10.65,9.68
桃園市復興區,15.44,15.26,14.66,13.42,13.95,14.45
桃園市新屋區,8.37,9.08,8.92,8.54,8.6,8.83
桃園市桃園區,10.06,10.49,9.84,9.36,9.27,8.54
桃園市楊梅區,10.78,11.45,11.02,10.72,10.72,10.18
桃園市蘆竹區,11.82,11.87,10.94,10.28,10.32,9.42
桃園市觀音區,10.51,10.3,11.16,10.34,10.67,9.1
桃園市龍潭區,9.85,11.26,10.08,9.66,10.08,9.53
桃園市龜山區,12.25,12.6,11.74,11.2,10.73,10.22
澎湖縣,8.77,9.81,10.04,8.47,9.44,9.48
澎湖縣七美鄉,12.98,9.88,13.59,11.64,9.94,12.25
澎湖縣望安鄉,7.82,10.54,9.82,8.79,10.58,9.83
澎湖縣湖西鄉,9.28,8.41,11.48,9.47,9.66,10.23
澎湖縣白沙鄉,11.71,12.48,10.71,10.88,12.43,9.57
澎湖縣西嶼鄉,8.92,8.49,12.03,9.62,10.84,13.28
澎湖縣馬公市,7.96,9.83,9.12,7.48,8.61,8.59
臺中市,9.63,9.31,8.77,8.1,7.69,6.96
臺中市中區,5.77,5.87,6.38,5.93,4.97,4.32
臺中市北區,8.36,7.9,7.91,7.25,6.71,6.18
臺中市北屯區,9.86,9.63,8.81,8.29,7.88,7.55
臺中市南區,10.26,9.5,8.76,7.64,7.56,6.79
臺中市南屯區,9.92,9.01,8.37,7.48,7.46,6.81
臺中市后里區,9.6,8.94,9.08,9.1,7.57,7.62
臺中市和平區,9.05,8.19,8.49,7.21,8.5,5.17
臺中市外埔區,9.83,9.44,8.78,7.96,8.44,7.45
臺中市大安區,8.43,8.82,8.16,9.18,8.19,5.95
臺中市大甲區,8.5,8.27,8.17,8.43,8.88,7.35
臺中市大肚區,9.02,9.33,9.08,7.81,7.42,6.51
臺中市大里區,10.11,9.93,9.06,8.18,7.86,6.89
臺中市大雅區,10.2,10.23,9.45,9.09,8.19,7.61
臺中市太平區,10.56,9.87,9.11,8.9,8.57,7.52
臺中市新社區,7.63,8.12,6.97,6.82,6.14,5.17
臺中市東勢區,8.07,7.66,7.06,6.78,5.84,5.94
臺中市東區,9.81,8.78,8.58,7.53,7.57,6.66
臺中市梧棲區,10.12,10.25,9.96,8.99,8.39,7.56
臺中市沙鹿區,12.7,13.6,11.4,10.71,8.96,8.63
臺中市清水區,8.9,8.87,8.46,8.09,7.79,7.23
臺中市潭子區,9.22,9.37,9.03,7.93,8.12,6.82
臺中市烏日區,10.58,9.77,8.61,8.31,8.45,7.65
臺中市石岡區,6.86,7.21,6.49,6.27,6.19,5.45
臺中市神岡區,10.17,10.01,9.51,9.2,8.34,7.53
