year,male,female,total
2019,12695,14137,26832
2020,12624,14101,26725
2021,12549,14054,26603
2022,12471,13997,26468
2023,12389,13938,26327
2024,12302,13872,26174
2025,12219,13811,26030
2026,12128,13741,25869
2027,12031,13668,25699
2028,11926,13585,25511
2029,11816,13492,25308
2030,11699,13392,25091
2031,11580,13284,24864
2032,11453,13169,24622
2033,11319,13044,24363
2034,11184,12913,24097
2035,11050,12794,23844
2036,10916,12665,23581
2037,10772,12529,23301
2038,10624,12385,23009
2039,10472,12235,22707
2040,10314,12077,22391
2041,10153,11914,22067
2042,9995,11747,21742
2043,9835,11576,21411
2044,9671,11402,21073
2045,9524,11244,20768
2046,9377,11079,20456
2047,9228,10908,20136
2048,9084,10740,19824
2049,8935,10562,19497
2050,8791,10388,19179
2051,8646,10209,18855
2052,8505,10029,18534
2053,8367,9848,18215
2054,8233,9673,17906
2055,8110,9510,17620
2056,7985,9344,17329
2057,7859,9180,17039
2058,7732,9015,16747
2059,7608,8853,16461
2060,7486,8694,16180
2061,7361,8530,15891
2062,7238,8370,15608
2063,7118,8211,15329
2064,6998,8054,15052
2065,6886,7906,14792
