year,male,female,total
2019,2827,2583,5410
2020,2844,2598,5442
2021,2861,2613,5474
2022,2871,2627,5498
2023,2878,2637,5515
2024,2882,2649,5531
2025,2887,2662,5549
2026,2889,2674,5563
2027,2891,2682,5573
2028,2891,2689,5580
2029,2888,2696,5584
2030,2882,2701,5583
2031,2874,2702,5576
2032,2866,2700,5566
2033,2859,2695,5554
2034,2850,2688,5538
2035,2844,2687,5531
2036,2835,2680,5515
2037,2827,2674,5501
2038,2817,2669,5486
2039,2806,2662,5468
2040,2792,2653,5445
2041,2778,2643,5421
2042,2762,2634,5396
2043,2744,2624,5368
2044,2725,2615,5340
2045,2710,2607,5317
2046,2691,2597,5288
2047,2671,2586,5257
2048,2649,2574,5223
2049,2626,2559,5185
2050,2604,2543,5147
2051,2582,2524,5106
2052,2557,2504,5061
2053,2532,2479,5011
2054,2506,2455,4961
2055,2482,2433,4915
2056,2455,2411,4866
2057,2423,2383,4806
2058,2393,2355,4748
2059,2360,2327,4687
2060,2330,2300,4630
2061,2298,2274,4572
2062,2267,2246,4513
2063,2234,2219,4453
2064,2201,2189,4390
2065,2170,2162,4332
