year,male,female,total
2019,19646,19734,39380
2020,19648,19777,39425
2021,19647,19820,39467
2022,19641,19858,39499
2023,19626,19889,39515
2024,19604,19914,39518
2025,19592,19942,39534
2026,19573,19967,39540
2027,19542,19984,39526
2028,19505,19990,39495
2029,19455,19988,39443
2030,19391,19975,39366
2031,19320,19949,39269
2032,19236,19917,39153
2033,19143,19868,39011
2034,19037,19811,38848
2035,18940,19761,38701
2036,18828,19698,38526
2037,18705,19620,38325
2038,18569,19532,38101
2039,18418,19431,37849
2040,18261,19320,37581
2041,18089,19190,37279
2042,17912,19051,36963
2043,17724,18902,36626
2044,17528,18742,36270
2045,17340,18593,35933
2046,17150,18436,35586
2047,16951,18263,35214
2048,16752,18082,34834
2049,16547,17891,34438
2050,16338,17689,34027
2051,16126,17481,33607
2052,15915,17268,33183
2053,15702,17053,32755
2054,15484,16830,32314
2055,15282,16624,31906
2056,15078,16414,31492
2057,14870,16196,31066
2058,14661,15974,30635
2059,14452,15747,30199
2060,14242,15519,29761
2061,14030,15292,29322
2062,13819,15059,28878
2063,13608,14821,28429
2064,13399,14587,27986
2065,13199,14358,27557
