year,male,female,total
2019,69918,70127,140045
2020,69898,70221,140119
2021,69877,70340,140217
2022,69838,70453,140291
2023,69777,70555,140332
2024,69687,70637,140324
2025,69620,70747,140367
2026,69528,70836,140364
2027,69396,70898,140294
2028,69225,70923,140148
2029,69007,70905,139912
2030,68735,70850,139585
2031,68417,70743,139160
2032,68033,70585,138618
2033,67594,70375,137969
2034,67097,70114,137211
2035,66621,69865,136486
2036,66086,69561,135647
2037,65503,69212,134715
2038,64875,68809,133684
2039,64211,68358,132569
2040,63502,67860,131362
2041,62759,67323,130082
2042,61989,66749,128738
2043,61203,66142,127345
2044,60388,65494,125882
2045,59630,64898,124528
2046,58865,64273,123138
2047,58089,63620,121709
2048,57303,62934,120237
2049,56513,62215,118728
2050,55726,61477,117203
2051,54934,60708,115642
2052,54142,59928,114070
2053,53354,59131,112485
2054,52566,58311,110877
2055,51844,57563,109407
2056,51120,56790,107910
2057,50399,56013,106412
2058,49685,55222,104907
2059,48970,54438,103408
2060,48246,53621,101867
2061,47533,52827,100360
2062,46817,52004,98821
2063,46095,51171,97266
2064,45372,50334,95706
2065,44682,49563,94245
