年月,村里代碼,區域,村里,戶數,人口,男性人口,女性人口,未滿15歲,15-64歲,超過64歲,超過20歲,18-19歲
2020-07,65000010-001,新北市板橋區,留侯里,689,1683,809,874,230,1160,293,1385,26
2020-07,65000010-002,新北市板橋區,流芳里,634,1547,713,834,234,1016,297,1252,28
2020-07,65000010-003,新北市板橋區,赤松里,422,956,455,501,153,633,170,765,15
2020-07,65000010-004,新北市板橋區,黃石里,516,1279,614,665,235,817,227,991,25
2020-07,65000010-005,新北市板橋區,挹秀里,868,1996,963,1033,295,1305,396,1637,26
2020-07,65000010-006,新北市板橋區,湳興里,2289,5373,2555,2818,619,3862,892,4522,103
2020-07,65000010-007,新北市板橋區,新興里,1534,3281,1568,1713,319,2371,591,2812,67
2020-07,65000010-008,新北市板橋區,社後里,5390,9639,5446,4193,668,7133,1838,8642,154
2020-07,65000010-009,新北市板橋區,香社里,1603,4348,2159,2189,475,3179,694,3682,82
2020-07,65000010-010,新北市板橋區,中正里,1895,4935,2402,2533,676,3567,692,4033,103
2020-07,65000010-011,新北市板橋區,自強里,2065,5319,2606,2713,685,3408,1226,4451,67
2020-07,65000010-012,新北市板橋區,自立里,1101,2881,1392,1489,309,2021,551,2429,64
2020-07,65000010-013,新北市板橋區,光華里,1142,2807,1367,1440,328,1958,521,2373,46
2020-07,65000010-014,新北市板橋區,國光里,1544,3777,1805,1972,310,2654,813,3285,88
2020-07,65000010-015,新北市板橋區,港尾里,1133,3052,1454,1598,441,2195,416,2452,62
2020-07,65000010-016,新北市板橋區,金華里,1491,4142,2032,2110,528,2904,710,3444,62
2020-07,65000010-017,新北市板橋區,港德里,1939,4896,2385,2511,543,3386,967,4120,95
2020-07,65000010-018,新北市板橋區,民權里,1093,2696,1298,1398,286,1796,614,2296,48
2020-07,65000010-019,新北市板橋區,建國里,1438,3633,1751,1882,404,2529,700,3071,77
2020-07,65000010-020,新北市板橋區,漢生里,1703,4392,2122,2270,700,2813,879,3526,67
2020-07,65000010-021,新北市板橋區,公舘里,1483,3970,1955,2015,546,2749,675,3205,101
2020-07,65000010-022,新北市板橋區,新民里,1759,4641,2247,2394,807,3063,771,3610,82
2020-07,65000010-023,新北市板橋區,幸福里,1515,4031,1980,2051,443,2877,711,3411,81
2020-07,65000010-024,新北市板橋區,忠誠里,1786,4417,2125,2292,644,2945,828,3565,84
2020-07,65000010-025,新北市板橋區,百壽里,1225,2986,1380,1606,554,1963,469,2308,46
2020-07,65000010-026,新北市板橋區,介壽里,1292,3279,1561,1718,546,2135,598,2602,51
2020-07,65000010-027,新北市板橋區,新埔里,874,2116,1031,1085,202,1490,424,1841,31
2020-07,65000010-028,新北市板橋區,華江里,3262,7970,3674,4296,1531,5443,996,6051,163
2020-07,65000010-029,新北市板橋區,江翠里,2025,5227,2559,2668,573,3816,838,4405,111
2020-07,65000010-030,新北市板橋區,純翠里,2096,5533,2661,2872,634,4009,890,4665,114
2020-07,65000010-031,新北市板橋區,溪頭里,2458,6149,3019,3130,740,4437,972,5102,153
2020-07,65000010-032,新北市板橋區,聯翠里,1675,3813,1790,2023,377,2805,631,3223,88
2020-07,65000010-033,新北市板橋區,宏翠里,2488,5455,2563,2892,651,4075,729,4586,94
