year,male,female,total
2019,104232,108514,212746
2020,104473,108939,213412
2021,104681,109331,214012
2022,104851,109689,214540
2023,104975,110004,214979
2024,105054,110278,215332
2025,105146,110558,215704
2026,105192,110801,215993
2027,105197,111002,216199
2028,105152,111156,216308
2029,105054,111253,216307
2030,104900,111300,216200
2031,104696,111293,215989
2032,104439,111233,215672
2033,104135,111117,215252
2034,103767,110944,214711
2035,103447,110811,214258
2036,103073,110615,213688
2037,102651,110361,213012
2038,102181,110048,212229
2039,101667,109677,211344
2040,101099,109243,210342
2041,100483,108748,209231
2042,99831,108195,208026
2043,99140,107586,206726
2044,98412,106915,205327
2045,97740,106311,204051
2046,97030,105643,202673
2047,96281,104910,201191
2048,95493,104110,199603
2049,94667,103251,197918
2050,93813,102342,196155
2051,92921,101371,194292
2052,92006,100369,192375
2053,91066,99320,190386
2054,90107,98234,188341
2055,89201,97226,186427
2056,88275,96185,184460
2057,87323,95115,182438
2058,86357,94016,180373
2059,85363,92888,178251
2060,84346,91738,176084
2061,83313,90566,173879
2062,82261,89372,171633
2063,81194,88165,169359
2064,80111,86946,167057
2065,79073,85800,164873
