year,male,female,total
2019,130153,141810,271963
2020,129831,141763,271594
2021,129506,141708,271214
2022,129147,141585,270732
2023,128749,141423,270172
2024,128304,141198,269502
2025,127903,141016,268919
2026,127475,140785,268260
2027,127010,140507,267517
2028,126495,140164,266659
2029,125935,139767,265702
2030,125323,139307,264630
2031,124668,138793,263461
2032,123960,138219,262179
2033,123206,137584,260790
2034,122396,136882,259278
2035,121673,136285,257958
2036,120898,135615,256513
2037,120069,134885,254954
2038,119197,134093,253290
2039,118272,133233,251505
2040,117298,132306,249604
2041,116285,131328,247613
2042,115232,130291,245523
2043,114147,129189,243336
2044,113026,128031,241057
2045,111995,126985,238980
2046,110924,125871,236795
2047,109813,124673,234486
2048,108663,123413,232076
2049,107478,122085,229563
2050,106260,120712,226972
2051,105010,119270,224280
2052,103731,117778,221509
2053,102437,116254,218691
2054,101125,114701,215826
2055,99879,113241,213120
2056,98615,111745,210360
2057,97340,110219,207559
2058,96045,108642,204687
2059,94742,107048,201790
2060,93424,105422,198846
2061,92105,103793,195898
2062,90786,102135,192921
2063,89461,100458,189919
2064,88137,98775,186912
2065,86875,97192,184067
