year,male,female,total
2019,189577,196629,386206
2020,189519,196965,386484
2021,189392,197237,386629
2022,189184,197425,386609
2023,188892,197522,386414
2024,188508,197524,386032
2025,188148,197545,385693
2026,187692,197479,385171
2027,187156,197322,384478
2028,186513,197055,383568
2029,185760,196681,382441
2030,184902,196196,381098
2031,183938,195594,379532
2032,182870,194876,377746
2033,181698,194045,375743
2034,180422,193095,373517
2035,179243,192247,371490
2036,177965,191286,369251
2037,176597,190208,366805
2038,175137,189019,364156
2039,173603,187720,361323
2040,171983,186305,358288
2041,170285,184788,355073
2042,168535,183177,351712
2043,166729,181472,348201
2044,164870,179666,344536
2045,163143,178016,341159
2046,161368,176269,337637
2047,159531,174410,333941
2048,157657,172464,330121
2049,155731,170423,326154
2050,153775,168326,322101
2051,151786,166136,317922
2052,149776,163912,313688
2053,147739,161656,309395
2054,145688,159368,305056
2055,143763,157255,301018
2056,141809,155097,296906
2057,139838,152917,292755
2058,137839,150703,288542
2059,135818,148438,284256
2060,133778,146167,279945
2061,131723,143870,275593
2062,129641,141571,271212
2063,127546,139243,266789
2064,125447,136915,262362
2065,123429,134718,258147
