year,male,female,total
2019,91809,95524,187333
2020,91390,95394,186784
2021,90982,95228,186210
2022,90535,95014,185549
2023,90053,94757,184810
2024,89541,94451,183992
2025,89058,94167,183225
2026,88541,93836,182377
2027,87983,93460,181443
2028,87385,93027,180412
2029,86754,92548,179302
2030,86078,92017,178095
2031,85361,91435,176796
2032,84608,90805,175413
2033,83814,90132,173946
2034,82986,89413,172399
2035,82219,88770,170989
2036,81419,88081,169500
2037,80582,87347,167929
2038,79711,86569,166280
2039,78813,85746,164559
2040,77892,84888,162780
2041,76953,84006,160959
2042,76002,83102,159104
2043,75047,82171,157218
2044,74082,81216,155298
2045,73191,80359,153550
2046,72294,79473,151767
2047,71381,78548,149929
2048,70464,77602,148066
2049,69539,76620,146159
2050,68608,75629,144237
2051,67658,74601,142259
2052,66697,73564,140261
2053,65736,72515,138251
2054,64758,71454,136212
2055,63841,70456,134297
2056,62904,69440,132344
2057,61967,68417,130384
2058,61008,67367,128375
2059,60044,66296,126340
2060,59073,65221,124294
2061,58096,64138,122234
2062,57107,63047,120154
2063,56109,61930,118039
2064,55112,60820,115932
2065,54155,59778,113933
