year,male,female,total
2019,23062,22709,45771
2020,22995,22675,45670
2021,22924,22643,45567
2022,22848,22602,45450
2023,22762,22553,45315
2024,22670,22495,45165
2025,22594,22454,45048
2026,22507,22406,44913
2027,22414,22355,44769
2028,22317,22300,44617
2029,22216,22236,44452
2030,22110,22169,44279
2031,21999,22099,44098
2032,21883,22029,43912
2033,21761,21950,43711
2034,21629,21867,43496
2035,21519,21802,43321
2036,21400,21734,43134
2037,21275,21656,42931
2038,21145,21575,42720
2039,20998,21481,42479
2040,20839,21376,42215
2041,20674,21255,41929
2042,20499,21126,41625
2043,20311,20990,41301
2044,20119,20843,40962
2045,19935,20711,40646
2046,19741,20564,40305
2047,19540,20407,39947
2048,19329,20238,39567
2049,19110,20059,39169
2050,18884,19879,38763
2051,18655,19691,38346
2052,18425,19499,37924
2053,18193,19307,37500
2054,17958,19109,37067
2055,17739,18927,36666
2056,17519,18744,36263
2057,17298,18554,35852
2058,17074,18361,35435
2059,16853,18163,35016
2060,16635,17967,34602
2061,16410,17760,34170
2062,16187,17555,33742
2063,15966,17348,33314
2064,15743,17142,32885
2065,15531,16944,32475
