year,male,female,total
2019,199828,213028,412856
2020,199483,213198,412681
2021,199098,213318,412416
2022,198649,213340,411989
2023,198117,213265,411382
2024,197504,213091,410595
2025,196928,212938,409866
2026,196279,212692,408971
2027,195536,212344,407880
2028,194696,211868,406564
2029,193757,211277,405034
2030,192705,210552,403257
2031,191547,209696,401243
2032,190284,208705,398989
2033,188914,207578,396492
2034,187442,206321,393763
2035,186075,205192,391267
2036,184595,203922,388517
2037,183013,202511,385524
2038,181345,200964,382309
2039,179588,199299,378887
2040,177740,197495,375235
2041,175818,195575,371393
2042,173844,193552,367396
2043,171815,191431,363246
2044,169736,189213,358949
2045,167804,187171,354975
2046,165829,185034,350863
2047,163799,182785,346584
2048,161730,180449,342179
2049,159621,178022,337643
2050,157492,175545,333037
2051,155325,172996,328321
2052,153141,170406,323547
2053,150942,167801,318743
2054,148730,165175,313905
2055,146654,162740,309394
2056,144555,160281,304836
2057,142433,157824,300257
2058,140292,155313,295605
2059,138122,152791,290913
2060,135937,150254,286191
2061,133733,147707,281440
2062,131513,145131,276644
2063,129280,142541,271821
2064,127042,139973,267015
2065,124900,137555,262455
