year,male,female,total
2019,12290,11103,23393
2020,12249,11085,23334
2021,12201,11072,23273
2022,12148,11049,23197
2023,12096,11025,23121
2024,12042,10999,23041
2025,11997,10980,22977
2026,11945,10958,22903
2027,11888,10936,22824
2028,11822,10905,22727
2029,11751,10870,22621
2030,11677,10834,22511
2031,11596,10789,22385
2032,11510,10740,22250
2033,11417,10690,22107
2034,11319,10632,21951
2035,11230,10583,21813
2036,11132,10527,21659
2037,11034,10471,21505
2038,10925,10404,21329
2039,10806,10329,21135
2040,10684,10249,20933
2041,10562,10168,20730
2042,10431,10083,20514
2043,10302,9996,20298
2044,10170,9909,20079
2045,10047,9833,19880
2046,9922,9749,19671
2047,9793,9662,19455
2048,9664,9573,19237
2049,9538,9483,19021
2050,9408,9387,18795
2051,9273,9288,18561
2052,9142,9184,18326
2053,9014,9084,18098
2054,8884,8983,17867
2055,8762,8888,17650
2056,8641,8790,17431
2057,8517,8691,17208
2058,8388,8590,16978
2059,8260,8486,16746
2060,8137,8381,16518
2061,8017,8279,16296
2062,7891,8170,16061
2063,7766,8057,15823
2064,7644,7943,15587
2065,7527,7838,15365
