year,male,female,total
2019,33134,32258,65392
2020,33114,32308,65422
2021,33083,32349,65432
2022,33042,32380,65422
2023,32992,32400,65392
2024,32927,32407,65334
2025,32874,32422,65296
2026,32804,32424,65228
2027,32717,32410,65127
2028,32614,32380,64994
2029,32493,32339,64832
2030,32354,32280,64634
2031,32197,32200,64397
2032,32021,32105,64126
2033,31828,31993,63821
2034,31623,31863,63486
2035,31429,31751,63180
2036,31223,31623,62846
2037,30995,31481,62476
2038,30751,31316,62067
2039,30497,31130,61627
2040,30232,30937,61169
2041,29951,30732,60683
2042,29672,30513,60185
2043,29381,30282,59663
2044,29081,30045,59126
2045,28804,29827,58631
2046,28525,29593,58118
2047,28232,29345,57577
2048,27933,29090,57023
2049,27629,28817,56446
2050,27316,28533,55849
2051,26999,28234,55233
2052,26676,27928,54604
2053,26347,27617,53964
2054,26025,27298,53323
2055,25717,27004,52721
2056,25403,26699,52102
2057,25086,26389,51475
2058,24766,26073,50839
2059,24443,25752,50195
2060,24112,25429,49541
2061,23782,25101,48883
2062,23445,24768,48213
2063,23107,24434,47541
2064,22765,24106,46871
2065,22441,23790,46231
