year,male,female,total
2019,9450,8395,17845
2020,9399,8374,17773
2021,9349,8355,17704
2022,9298,8334,17632
2023,9243,8312,17555
2024,9186,8289,17475
2025,9132,8269,17401
2026,9069,8244,17313
2027,9009,8218,17227
2028,8946,8190,17136
2029,8881,8156,17037
2030,8810,8116,16926
2031,8740,8075,16815
2032,8662,8031,16693
2033,8577,7983,16560
2034,8482,7926,16408
2035,8391,7880,16271
2036,8297,7826,16123
2037,8197,7767,15964
2038,8095,7705,15800
2039,7988,7638,15626
2040,7882,7567,15449
2041,7770,7492,15262
2042,7652,7413,15065
2043,7533,7332,14865
2044,7414,7251,14665
2045,7304,7177,14481
2046,7188,7099,14287
2047,7070,7018,14088
2048,6950,6932,13882
2049,6828,6843,13671
2050,6708,6748,13456
2051,6588,6655,13243
2052,6469,6563,13032
2053,6355,6474,12829
2054,6245,6387,12632
2055,6140,6301,12441
2056,6038,6219,12257
2057,5939,6131,12070
2058,5838,6044,11882
2059,5738,5954,11692
2060,5639,5866,11505
2061,5544,5776,11320
2062,5453,5690,11143
2063,5365,5604,10969
2064,5274,5521,10795
2065,5187,5442,10629
