year,male,female,total
2019,7934,7011,14945
2020,7902,6993,14895
2021,7872,6980,14852
2022,7839,6967,14806
2023,7804,6949,14753
2024,7769,6930,14699
2025,7738,6917,14655
2026,7705,6903,14608
2027,7667,6887,14554
2028,7628,6870,14498
2029,7585,6850,14435
2030,7540,6825,14365
2031,7488,6801,14289
2032,7431,6775,14206
2033,7375,6747,14122
2034,7313,6718,14031
2035,7255,6690,13945
2036,7192,6660,13852
2037,7125,6623,13748
2038,7052,6583,13635
2039,6973,6541,13514
2040,6889,6497,13386
2041,6807,6449,13256
2042,6723,6397,13120
2043,6635,6343,12978
2044,6546,6289,12835
2045,6460,6238,12698
2046,6372,6180,12552
2047,6283,6126,12409
2048,6192,6068,12260
2049,6098,6008,12106
2050,6006,5944,11950
2051,5914,5880,11794
2052,5823,5814,11637
2053,5734,5748,11482
2054,5645,5679,11324
2055,5559,5617,11176
2056,5477,5556,11033
2057,5396,5493,10889
2058,5314,5427,10741
2059,5233,5356,10589
2060,5152,5280,10432
2061,5070,5206,10276
2062,4987,5131,10118
2063,4905,5053,9958
2064,4824,4975,9799
2065,4744,4902,9646
