year,male,female,total
2019,16800,16551,33351
2020,16787,16562,33349
2021,16767,16570,33337
2022,16742,16577,33319
2023,16712,16579,33291
2024,16673,16572,33245
2025,16641,16563,33204
2026,16603,16552,33155
2027,16557,16536,33093
2028,16499,16511,33010
2029,16435,16478,32913
2030,16365,16439,32804
2031,16287,16390,32677
2032,16201,16338,32539
2033,16112,16276,32388
2034,16013,16213,32226
2035,15925,16160,32085
2036,15828,16097,31925
2037,15726,16029,31755
2038,15617,15955,31572
2039,15506,15875,31381
2040,15386,15787,31173
2041,15260,15693,30953
2042,15131,15593,30724
2043,14998,15486,30484
2044,14862,15373,30235
2045,14734,15272,30006
2046,14601,15162,29763
2047,14460,15045,29505
2048,14318,14919,29237
2049,14174,14789,28963
2050,14029,14655,28684
2051,13877,14516,28393
2052,13720,14368,28088
2053,13560,14223,27783
2054,13398,14070,27468
2055,13244,13930,27174
2056,13094,13788,26882
2057,12938,13642,26580
2058,12778,13493,26271
2059,12615,13337,25952
2060,12450,13183,25633
2061,12284,13021,25305
2062,12120,12861,24981
2063,11947,12703,24650
2064,11777,12536,24313
2065,11613,12379,23992
