year,male,female,total
2019,17479,15373,32852
2020,17395,15341,32736
2021,17310,15313,32623
2022,17220,15286,32506
2023,17132,15248,32380
2024,17039,15213,32252
2025,16954,15186,32140
2026,16860,15152,32012
2027,16767,15112,31879
2028,16661,15064,31725
2029,16549,15014,31563
2030,16428,14949,31377
2031,16300,14883,31183
2032,16164,14805,30969
2033,16024,14724,30748
2034,15871,14635,30506
2035,15731,14558,30289
2036,15579,14468,30047
2037,15420,14373,29793
2038,15249,14269,29518
2039,15079,14163,29242
2040,14900,14046,28946
2041,14716,13924,28640
2042,14533,13798,28331
2043,14344,13663,28007
2044,14147,13526,27673
2045,13965,13402,27367
2046,13779,13271,27050
2047,13586,13135,26721
2048,13397,12988,26385
2049,13198,12844,26042
2050,13000,12693,25693
2051,12806,12537,25343
2052,12612,12377,24989
2053,12422,12219,24641
2054,12233,12062,24295
2055,12056,11918,23974
2056,11882,11771,23653
2057,11708,11626,23334
2058,11533,11480,23013
2059,11357,11334,22691
2060,11187,11186,22373
2061,11016,11036,22052
2062,10835,10887,21722
2063,10656,10738,21394
2064,10479,10586,21065
2065,10311,10443,20754
