year,male,female,total
2019,220986,227221,448207
2020,220966,227582,448548
2021,220902,227894,448796
2022,220761,228124,448885
2023,220541,228268,448809
2024,220253,228341,448594
2025,220019,228457,448476
2026,219725,228526,448251
2027,219381,228525,447906
2028,218970,228454,447424
2029,218502,228314,446816
2030,217960,228102,446062
2031,217355,227821,445176
2032,216681,227467,444148
2033,215947,227043,442990
2034,215145,226555,441700
2035,214466,226200,440666
2036,213709,225771,439480
2037,212884,225250,438134
2038,211989,224660,436649
2039,211025,223986,435011
2040,209980,223217,433197
2041,208853,222366,431219
2042,207655,221422,429077
2043,206386,220384,426770
2044,205035,219254,424289
2045,203788,218250,422038
2046,202446,217122,419568
2047,200989,215851,416840
2048,199430,214460,413890
2049,197770,212931,410701
2050,196016,211286,407302
2051,194158,209497,403655
2052,192206,207603,399809
2053,190171,205616,395787
2054,188058,203527,391585
2055,186046,201559,387605
2056,183971,199502,383473
2057,181840,197356,379196
2058,179647,195130,374777
2059,177408,192827,370235
2060,175138,190457,365595
2061,172849,188046,360895
2062,170532,185563,356095
2063,168203,183035,351238
2064,165874,180478,346352
2065,163649,178049,341698
