year,male,female,total
2019,17901,16638,34539
2020,17862,16642,34504
2021,17815,16640,34455
2022,17769,16638,34407
2023,17719,16626,34345
2024,17659,16610,34269
2025,17602,16598,34200
2026,17537,16582,34119
2027,17468,16560,34028
2028,17395,16527,33922
2029,17307,16482,33789
2030,17213,16434,33647
2031,17112,16376,33488
2032,16995,16305,33300
2033,16870,16220,33090
2034,16733,16128,32861
2035,16606,16045,32651
2036,16467,15954,32421
2037,16315,15852,32167
2038,16158,15738,31896
2039,15989,15614,31603
2040,15812,15482,31294
2041,15634,15343,30977
2042,15447,15201,30648
2043,15253,15049,30302
2044,15053,14894,29947
2045,14872,14751,29623
2046,14681,14599,29280
2047,14481,14442,28923
2048,14284,14275,28559
2049,14078,14100,28178
2050,13871,13924,27795
2051,13662,13745,27407
2052,13454,13569,27023
2053,13249,13392,26641
2054,13043,13215,26258
2055,12850,13051,25901
2056,12653,12879,25532
2057,12455,12712,25167
2058,12257,12542,24799
2059,12061,12369,24430
2060,11867,12196,24063
2061,11668,12025,23693
2062,11464,11850,23314
2063,11261,11673,22934
2064,11056,11493,22549
2065,10863,11320,22183
