year,male,female,total
2019,11467,9834,21301
2020,11396,9802,21198
2021,11327,9774,21101
2022,11255,9746,21001
2023,11182,9715,20897
2024,11106,9677,20783
2025,11039,9645,20684
2026,10968,9611,20579
2027,10892,9574,20466
2028,10814,9533,20347
2029,10726,9490,20216
2030,10637,9442,20079
2031,10545,9390,19935
2032,10448,9331,19779
2033,10344,9270,19614
2034,10235,9206,19441
2035,10137,9150,19287
2036,10026,9086,19112
2037,9908,9017,18925
2038,9783,8944,18727
2039,9655,8867,18522
2040,9521,8787,18308
2041,9384,8706,18090
2042,9245,8616,17861
2043,9101,8526,17627
2044,8957,8434,17391
2045,8823,8349,17172
2046,8688,8261,16949
2047,8550,8167,16717
2048,8408,8069,16477
2049,8264,7968,16232
2050,8118,7869,15987
2051,7975,7759,15734
2052,7830,7652,15482
2053,7686,7540,15226
2054,7544,7431,14975
2055,7414,7331,14745
2056,7283,7226,14509
2057,7153,7121,14274
2058,7024,7010,14034
2059,6893,6900,13793
2060,6764,6789,13553
2061,6638,6679,13317
2062,6521,6570,13091
2063,6400,6460,12860
2064,6282,6354,12636
2065,6168,6255,12423
