year,male,female,total
2019,12587,11502,24089
2020,12529,11491,24020
2021,12470,11477,23947
2022,12408,11458,23866
2023,12338,11434,23772
2024,12263,11402,23665
2025,12194,11375,23569
2026,12119,11342,23461
2027,12042,11301,23343
2028,11967,11261,23228
2029,11882,11213,23095
2030,11788,11155,22943
2031,11690,11094,22784
2032,11589,11027,22616
2033,11480,10953,22433
2034,11360,10868,22228
2035,11256,10797,22053
2036,11139,10714,21853
2037,11015,10627,21642
2038,10884,10534,21418
2039,10753,10435,21188
2040,10609,10329,20938
2041,10466,10217,20683
2042,10322,10104,20426
2043,10176,9984,20160
2044,10023,9862,19885
2045,9882,9749,19631
2046,9736,9634,19370
2047,9589,9515,19104
2048,9444,9398,18842
2049,9299,9274,18573
2050,9152,9147,18299
2051,9005,9016,18021
2052,8858,8889,17747
2053,8714,8762,17476
2054,8564,8630,17194
2055,8427,8510,16937
2056,8289,8388,16677
2057,8155,8265,16420
2058,8022,8142,16164
2059,7888,8018,15906
2060,7756,7900,15656
2061,7621,7778,15399
2062,7490,7658,15148
2063,7358,7537,14895
2064,7230,7417,14647
2065,7111,7304,14415
