year,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,0f,1f,2f,3f,4f,5f,6f,7f,8f,9f,10f,11f,12f,13f,14f,15f,16f,17f,18f,19f,20f,21f,22f,23f,24f,25f,26f,27f,28f,29f,30f,31f,32f,33f,34f,35f,36f,37f,38f,39f,40f,41f,42f,43f,44f,45f,46f,47f,48f,49f,50f,51f,52f,53f,54f,55f,56f,57f,58f,59f,60f,61f,62f,63f,64f,65f,66f,67f,68f,69f,70f,71f,72f,73f,74f,75f,76f,77f,78f,79f,80f,81f,82f,83f,84f,85f,86f,87f,88f,89f,90f,91f,92f,93f,94f,95f,96f,97f,98f,99f,100f
2019,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,61,55,58,69,66,79,58,66,69,66,71,49,54,48,56,42,48,34,31,26,33,28,21,13,20,15,22,30,34,29,18,19,22,17,11,14,5,8,6,6,3,9,3,3,1,1,1,1,1,1,0,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,36,29,26,29,34,21,21,20,25,23,30,35,46,52,41,39,36,30,23,15,12,19,19,8,13,13,17,8,5,5,5,2,2,1,2
2020,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,61,55,58,69,66,78,58,65,68,65,70,48,53,47,55,41,47,33,30,25,32,27,20,13,19,14,21,29,32,27,17,18,20,16,10,13,4,7,5,5,3,8,3,2,1,1,1,1,1,0,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,36,29,26,29,34,21,21,20,25,22,29,34,45,50,39,37,34,28,22,14,11,17,17,7,11,11,14,7,4,4,4,1,1,0
2021,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,61,55,58,68,65,77,57,64,67,64,69,47,52,46,54,40,46,32,29,24,31,26,19,13,18,13,20,28,30,25,16,17,18,15,9,12,4,6,4,4,3,7,2,2,1,1,1,1,0,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,36,29,26,29,34,21,21,20,24,21,28,33,43,48,37,35,32,26,20,13,10,15,15,6,10,9,12,6,3,3,3,1,0
2022,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,61,55,58,67,64,76,56,63,66,63,68,46,51,45,53,39,45,31,28,23,30,25,18,12,17,12,19,26,28,23,15,16,16,14,8,11,4,5,3,3,3,6,2,2,1,1,1,0,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,36,29,26,29,33,21,21,20,23,20,27,32,41,46,35,33,30,24,18,12,9,13,13,5,9,8,10,5,2,2,2,0
2023,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,61,55,58,66,63,75,55,62,65,62,67,45,50,44,52,38,44,30,27,22,29,24,17,11,16,11,18,24,26,21,14,15,14,13,7,10,3,4,3,3,2,5,2,2,1,1,0,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,36,29,26,29,32,21,21,20,22,19,26,31,39,44,33,31,28,22,16,11,8,11,11,4,8,7,8,4,1,1,0
2024,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,61,55,58,65,62,74,54,61,64,61,66,44,49,43,51,37,43,29,26,21,28,23,16,10,15,10,17,22,24,19,13,14,13,12,6,9,3,3,3,2,2,4,2,1,1,0,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,36,29,26,28,31,21,20,19,21,18,25,30,37,42,31,29,26,20,14,10,7,10,9,3,7,6,6,3,1,0
2025,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,61,55,58,64,61,73,53,60,63,60,65,43,48,42,50,36,42,28,25,20,27,22,15,10,14,9,16,20,22,17,12,13,12,11,5,8,3,3,2,2,2,3,2,1,0,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,36,29,26,27,30,21,19,18,20,17,24,29,35,40,29,27,24,18,13,9,6,9,8,2,6,5,5,2,0
2026,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,61,55,57,63,60,72,52,59,62,59,64,42,47,41,49,35,41,27,24,19,26,21,14,9,13,8,15,19,20,15,11,12,11,10,4,7,3,2,2,2,2,2,1,0,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,35,29,26,26,29,20,18,17,19,16,23,28,33,37,27,25,22,16,12,8,5,8,7,2,5,4,4,0
2027,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,60,55,56,62,59,71,51,58,61,58,63,41,46,40,48,34,40,26,23,18,25,20,13,8,12,7,14,17,18,14,10,11,10,9,3,6,2,2,2,2,2,1,0,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,34,28,25,25,28,19,17,16,18,15,22,26,31,34,25,23,20,14,10,7,4,7,6,2,4,3,0
2028,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,59,59,54,55,61,58,70,50,57,60,57,62,40,45,39,47,33,39,25,22,17,24,19,12,7,11,6,13,15,16,13,9,10,9,8,3,5,2,2,2,2,1,0,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,31,33,27,24,24,27,18,16,15,17,14,21,24,29,31,23,21,18,12,9,6,3,6,5,2,3,0
2029,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,58,58,53,54,60,57,69,49,56,59,56,61,39,44,38,46,32,38,24,21,16,23,18,11,7,10,6,12,14,14,11,8,9,8,7,2,4,2,2,2,1,0,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,34,30,30,32,26,23,23,26,17,15,14,16,13,20,22,27,28,21,19,16,10,8,5,2,5,4,1,0
2030,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,57,57,52,53,59,56,68,48,55,58,55,60,38,43,37,44,31,36,23,20,15,22,17,10,6,9,5,11,13,12,10,7,8,7,6,2,3,2,2,1,0,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,46,24,36,30,33,29,29,31,25,22,22,25,16,14,13,15,12,19,20,25,25,19,17,14,8,7,4,2,4,3,0
2031,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,56,56,51,52,58,55,67,47,54,57,54,59,37,42,36,42,30,34,22,19,14,21,16,9,6,8,5,10,11,10,9,6,7,6,5,2,2,2,1,0,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,45,24,35,30,32,28,28,30,24,21,21,24,15,13,12,14,11,17,18,22,22,17,15,12,7,6,3,2,3,0
2032,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,51,55,55,50,51,57,54,66,46,53,56,53,57,36,41,35,40,29,32,21,18,13,20,15,8,5,7,4,9,10,9,8,5,6,5,4,2,2,1,0,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,44,24,34,29,31,27,27,29,23,20,20,23,14,12,11,13,10,15,16,20,19,15,13,10,6,5,2,1,0
2033,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,50,54,54,49,50,56,53,65,45,52,55,52,55,35,40,34,38,28,30,20,17,12,19,14,7,5,6,4,8,9,8,7,4,5,4,3,2,1,0,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,43,24,33,28,30,26,26,28,22,19,19,22,13,11,10,12,9,13,14,17,16,13,11,8,5,4,1,0
2034,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,49,53,53,48,49,55,52,64,44,51,54,50,53,34,38,32,36,27,28,19,16,11,17,13,6,4,5,3,7,8,7,6,3,4,3,2,1,0,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,42,24,32,27,29,25,25,27,21,18,18,21,12,10,9,11,8,12,12,15,13,11,9,6,4,3,0
2035,5,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,48,52,52,47,48,54,51,63,43,50,53,49,51,33,36,31,34,26,26,18,15,10,16,12,5,4,4,3,6,7,6,5,2,3,2,1,0,5,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,41,24,31,26,28,24,24,26,20,17,17,20,11,9,8,10,7,11,10,13,11,9,7,5,3,0
2036,5,5,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,47,51,51,46,47,53,50,62,42,49,51,47,49,32,34,29,32,24,24,17,14,9,15,11,4,4,3,3,5,6,5,4,2,2,1,0,4,5,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,31,40,24,30,25,27,23,23,25,19,16,16,19,10,8,7,9,6,10,9,11,9,7,5,4,0
2037,4,5,5,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,46,50,50,45,46,52,49,60,41,48,49,45,47,31,32,27,30,22,22,16,13,8,13,10,4,3,3,3,4,5,4,3,2,1,0,4,4,5,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,30,39,23,29,24,26,22,22,24,18,15,15,18,9,7,6,8,5,9,8,9,7,5,4,0
2038,5,4,5,5,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,41,40,45,49,49,44,45,51,48,58,40,46,47,43,45,29,30,25,28,20,20,15,12,7,12,9,3,3,3,3,3,4,3,2,1,0,4,4,4,5,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,40,33,26,21,29,38,22,28,23,25,21,21,23,17,14,14,17,8,6,5,7,4,8,7,7,5,4,0
2039,4,5,4,5,5,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,40,39,44,48,48,43,44,50,47,56,39,44,45,41,43,27,28,23,26,18,18,14,11,6,11,8,3,3,3,2,2,3,2,1,0,4,4,4,4,5,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,39,32,26,21,28,37,21,27,22,24,20,20,22,16,13,13,15,7,5,4,6,3,7,6,5,4,0
2040,4,4,5,4,5,5,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,39,38,43,47,47,42,43,49,46,54,38,42,43,39,41,25,26,21,24,16,16,13,10,5,10,7,3,3,2,2,2,2,1,0,3,4,4,4,4,5,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,38,31,25,21,27,36,20,26,21,23,19,19,21,15,12,12,13,6,4,3,5,2,6,5,4,0
2041,3,4,4,5,4,5,5,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,41,28,35,38,37,42,46,46,41,42,48,44,52,36,40,41,37,39,23,24,19,22,15,14,12,9,4,9,6,3,2,2,2,2,1,0,3,3,4,4,4,4,5,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,31,37,30,24,20,26,35,19,25,20,22,18,18,19,14,11,11,12,5,3,3,4,2,5,4,0
2042,3,3,4,4,5,4,5,5,6,6,7,8,8,9,8,8,8,7,8,8,9,9,9,6,10,14,7,3,10,6,10,7,7,10,5,11,15,8,11,9,14,16,16,14,14,16,22,18,19,27,18,32,17,27,18,13,25,27,17,33,23,37,20,27,36,40,40,28,34,37,36,41,45,45,40,41,46,42,50,34,38,39,35,37,21,22,17,20,13,12,11,8,3,8,5,2,2,2,2,1,0,2,3,3,4,4,4,4,5,5,6,7,7,8,8,8,7,7,7,7,8,8,8,8,5,8,10,7,15,4,5,5,6,4,11,7,8,10,13,16,17,13,13,18,22,10,15,16,23,14,17,15,13,28,21,16,17,12,12,21,25,18,21,19,21,23,26,29,22,17,25,23,25,37,25,27,23,30,36,29,23,19,25,34,18,24,19,21,17,17,17,13,10,10,10,4,3,2,3,2,4,0
