year,male,female,total
2019,10860,10483,21343
2020,10820,10473,21293
2021,10776,10458,21234
2022,10732,10443,21175
2023,10683,10425,21108
2024,10633,10402,21035
2025,10590,10381,20971
2026,10540,10357,20897
2027,10486,10332,20818
2028,10430,10300,20730
2029,10369,10263,20632
2030,10306,10223,20529
2031,10239,10180,20419
2032,10170,10136,20306
2033,10094,10082,20176
2034,10014,10023,20037
2035,9933,9971,19904
2036,9848,9918,19766
2037,9758,9856,19614
2038,9657,9784,19441
2039,9553,9708,19261
2040,9443,9630,19073
2041,9327,9541,18868
2042,9210,9453,18663
2043,9090,9363,18453
2044,8965,9264,18229
2045,8848,9178,18026
2046,8731,9085,17816
2047,8610,8991,17601
2048,8489,8887,17376
2049,8364,8782,17146
2050,8236,8679,16915
2051,8110,8565,16675
2052,7986,8456,16442
2053,7855,8343,16198
2054,7728,8226,15954
2055,7610,8119,15729
2056,7494,8012,15506
2057,7378,7900,15278
2058,7262,7791,15053
2059,7149,7675,14824
2060,7031,7560,14591
2061,6918,7448,14366
2062,6807,7335,14142
2063,6698,7219,13917
2064,6584,7103,13687
2065,6479,6994,13473
