year,male,female,total
2019,5004,4183,9187
2020,4972,4164,9136
2021,4937,4149,9086
2022,4906,4135,9041
2023,4876,4118,8994
2024,4846,4103,8949
2025,4818,4092,8910
2026,4788,4079,8867
2027,4759,4064,8823
2028,4726,4050,8776
2029,4692,4039,8731
2030,4656,4023,8679
2031,4620,4006,8626
2032,4580,3988,8568
2033,4539,3968,8507
2034,4497,3944,8441
2035,4461,3926,8387
2036,4423,3905,8328
2037,4378,3883,8261
2038,4336,3858,8194
2039,4293,3836,8129
2040,4244,3808,8052
2041,4195,3783,7978
2042,4142,3757,7899
2043,4088,3728,7816
2044,4033,3696,7729
2045,3980,3667,7647
2046,3922,3637,7559
2047,3865,3605,7470
2048,3810,3573,7383
2049,3753,3539,7292
2050,3697,3504,7201
2051,3638,3468,7106
2052,3577,3431,7008
2053,3517,3394,6911
2054,3456,3357,6813
2055,3399,3324,6723
2056,3346,3287,6633
2057,3292,3252,6544
2058,3243,3213,6456
2059,3194,3176,6370
2060,3148,3141,6289
2061,3100,3102,6202
2062,3054,3063,6117
2063,3008,3024,6032
2064,2962,2981,5943
2065,2917,2940,5857
